Unnamed: 0,snap,mean_mass,median_mass,mean_vol,median_vol,std,A,mu,sigma,alpha,z_T
1,110,-2.4728245735168457,-2.4070674785669297,-2.5132668018341064,-2.4070674785669297,0.38072627782821655,20677278.00304054,-2.275000000000006,0.4304110701513193,-2.1250000000000067,6.454619278619268
7,111,-2.4057016372680664,-2.33140147946499,-2.52925705909729,-2.33140147946499,0.37377867102622986,20832816.03694747,-2.275000000000006,0.30399392562649674,-2.1750000000000065,6.034765277759829
11,112,-2.301656484603882,-2.235905297458432,-2.5409412384033203,-2.235905297458432,0.34440040588378906,20101216.187760554,-2.1750000000000065,0.25137277071139646,-2.025000000000007,7.7650958575422155
16,113,-2.2997095584869385,-2.2320789916985206,-2.3248310089111333,-2.2320789916985206,0.3719600737094879,6456327.389811906,-2.1250000000000067,0.35837420888684524,-1.9750000000000072,7.165228658492281
19,114,-2.1814513206481934,-2.1050943693459083,-2.0738019943237305,-2.1050943693459083,0.3167206048965454,,,,,
31,116,-1.6305996179580688,-1.6305998415696066,-1.7201592922210691,-1.6305998415696066,0.29393577575683594,,,,,
55,118,-2.58120346069336,-2.562868523781109,-2.501082181930542,-2.562868523781109,0.4517585635185242,64407.85170560232,-3.0250000000000035,0.14547669992143897,-2.7750000000000044,1.1629120875434296
69,119,-2.515466451644897,-2.4669327981224445,-2.467419385910034,-2.4669327981224445,0.4474692940711975,,,,,
4,120,-2.483926057815552,-2.442622687367295,-2.460977554321289,-2.442622687367295,0.41283145546913147,,,,,
8,121,-2.592480182647705,-2.5521753582518887,-2.52827787399292,-2.5521753582518887,0.44491270184516907,,,,,
12,122,-2.778644561767578,-2.8256941252419416,-2.7155096530914307,-2.8256941252419416,0.4819034636020661,2574331.270498729,-3.2750000000000026,0.17368408850053235,-3.125000000000003,1.099257904773723
15,123,-2.7855443954467773,-2.8356721958852327,-2.81494665145874,-2.8356721958852327,0.5032846331596375,2211203.5561448443,-3.2750000000000026,0.1916391131612347,-3.0750000000000037,1.0484302400233143
20,124,-2.7835536003112797,-2.794324283258565,-2.8214449882507324,-2.794324283258565,0.5476493239402771,,,,,
24,125,-2.751671314239502,-2.725918791101799,-2.788912057876587,-2.725918791101799,0.552992582321167,570875.7296866283,-3.4250000000000016,0.15573146964523432,-3.2750000000000026,0.8028858475378703
36,126,-2.5900862216949463,-2.4999179649353027,-2.6388866901397705,-2.4999179649353027,0.4861058294773102,,,,,
47,127,-2.5537028312683105,-2.48094481970309,-2.610379695892334,-2.48094481970309,0.4462935924530029,,,,,
60,128,-2.5533316135406494,-2.4866961001576184,-2.58970308303833,-2.4866961001576184,0.4371744394302368,,,,,
77,129,-2.5770189762115483,-2.5209819375760767,-2.6221957206726074,-2.5209819375760767,0.44015195965766907,,,,,
2,130,-2.552689552307129,-2.5032753802762167,-2.5921428203582764,-2.5032753802762167,0.4148975312709808,,,,,
5,131,-2.5472166538238525,-2.5078332593138093,-2.6238796710968018,-2.5078332593138093,0.39877521991729736,,,,,
