Unnamed: 0,snap,mean_mass,median_mass,mean_vol,median_vol,std,A,mu,sigma,alpha,z_T
1,110,-2.507413625717163,-2.449245027535191,-2.553158760070801,-2.449245027535191,0.3900912404060364,20276777.47155043,-2.325000000000006,0.41252135549653757,-2.2250000000000063,5.687997676141197
7,111,-2.4429361820220947,-2.3764096600826816,-2.5718934535980225,-2.3764096600826816,0.3824832439422608,20427807.312580828,-2.325000000000006,0.29082509962832725,-2.2250000000000063,5.8585509205080895
11,112,-2.348248243331909,-2.287294965041311,-2.58676552772522,-2.287294965041311,0.3487095832824707,20285368.134571888,-2.2250000000000063,0.24785935660633868,-2.1250000000000067,7.00231286529294
16,113,-2.357707262039185,-2.2911066311161687,-2.3837523460388184,-2.2911066311161687,0.37407585978508,5863117.778148708,-2.2250000000000063,0.34073639991620014,-2.025000000000007,6.990749161174254
19,114,-2.152215480804444,-2.094939024839414,-2.0387325286865234,-2.094939024839414,0.3291603624820709,,,,,
31,116,-1.65584135055542,-1.6558415078534632,-1.7321374416351318,-1.6558415078534632,0.25040513277053833,,,,,
55,118,-2.5277256965637207,-2.5412510544869704,-2.444697141647339,-2.5412510544869704,0.432894229888916,78596.3867595395,-2.6750000000000047,0.13433402542915276,-2.3750000000000058,2.65550679000914
69,119,-2.520981311798096,-2.46325718994446,-2.4647364616394043,-2.46325718994446,0.4608829319477081,,,,,
4,120,-2.5103590488433842,-2.472233888209669,-2.48708724975586,-2.472233888209669,0.4222327470779419,,,,,
8,121,-2.6260502338409424,-2.5945545953010845,-2.562066078186035,-2.5945545953010845,0.464019924402237,,,,,
12,122,-2.824223279953003,-2.8740672480807983,-2.7552499771118164,-2.8740672480807983,0.4935559034347534,2630007.6971581886,-3.3250000000000024,0.18305533436762622,-3.175000000000003,1.0783977057990677
15,123,-2.8311829566955566,-2.877785943701783,-2.860092878341675,-2.877785943701783,0.5127959847450256,2230878.219448809,-3.3250000000000024,0.19796997909335798,-3.125000000000003,1.0477826579101421
20,124,-2.8232653141021733,-2.8313029650095345,-2.8625833988189697,-2.8313029650095345,0.5629949569702148,,,,,
24,125,-2.7834231853485107,-2.7517722385795613,-2.82197904586792,-2.7517722385795613,0.5688737034797668,,,,,
36,126,-2.6064527034759517,-2.529635666987188,-2.655342102050781,-2.529635666987188,0.5016886591911316,,,,,
47,127,-2.5715272426605225,-2.510485042826776,-2.631106376647949,-2.510485042826776,0.459223210811615,,,,,
60,128,-2.5709033012390137,-2.512234001722476,-2.6131916046142583,-2.512234001722476,0.4503648579120636,,,,,
77,129,-2.595539093017578,-2.543488903393269,-2.6464433670043945,-2.543488903393269,0.4532261788845062,,,,,
2,130,-2.5704598426818848,-2.526916693553272,-2.612858533859253,-2.526916693553272,0.42685720324516296,,,,,
5,131,-2.565182685852051,-2.530499491901777,-2.646772146224976,-2.530499491901777,0.4102959632873535,,,,,
13,132,-2.5084214210510254,-2.4632024660749963,-2.635617971420288,-2.4632024660749963,0.3842570185661316,10971239.999998372,-2.325000000000006,0.4310309844665038,-2.1750000000000065,5.941814414547158
17,133,-2.470649003982544,-2.4165632617716892,-2.5207765102386475,-2.4165632617716892,0.3744960129261017,10692227.612328256,-2.325000000000006,0.40707178468648686,-2.2250000000000063,5.448696567411445
21,134,-2.481478691101074,-2.4292964860057915,-2.494274616241455,-2.4292964860057915,0.3773960173130035,10199039.999999998,-2.275000000000006,0.4613887633400261,-2.1750000000000065,5.654029203371731
26,135,-2.504811286926269,-2.456642371984933,-2.5048396587371826,-2.456642371984933,0.3836495280265808,11227219.999999998,-2.275000000000006,0.47815066797067757,-2.1250000000000067,6.037127984232772
38,136,-2.5100843906402592,-2.4574174730011498,-2.512598752975464,-2.4574174730011498,0.3839897513389587,13218059.999999998,-2.325000000000006,0.5019196460607299,-2.275000000000006,4.353566561510507
50,137,-2.5006141662597656,-2.4570868015289307,-2.501540422439575,-2.4570868015289307,0.3747887015342712,16073469.999999998,-2.325000000000006,0.4824213785302379,-2.2250000000000063,5.408207196244756
63,138,-2.50246810913086,-2.4654070642467567,-2.529055595397949,-2.4654070642467567,0.3628098368644713,,,,,
74,139,-2.4554286003112797,-2.41586590387735,-2.5341193675994877,-2.41586590387735,0.3367568552494049,26510873.21208202,-2.325000000000006,0.39717827446556603,-2.1750000000000065,6.650843044786238
0,140,-2.4095773696899414,-2.369518092870712,-2.4573802947998047,-2.369518092870712,0.3211509585380554,27722616.207903277,-2.275000000000006,0.3506574391966202,-2.1750000000000065,6.880963909200741
6,141,-2.372919797897339,-2.3336652293801308,-2.4000110626220703,-2.3336652293801308,0.3143197000026703,22585695.111854002,-2.275000000000006,0.3236655283858141,-2.1750000000000065,6.502358815162418
10,142,-2.3388121128082275,-2.306351536735494,-2.3401615619659424,-2.306351536735494,0.3120351731777191,18988122.339274213,-2.2250000000000063,0.31243388358345275,-2.1250000000000067,6.64563515640752
14,143,-2.316408634185791,-2.2827785506911344,-2.2960824966430664,-2.2827785506911344,0.317349910736084,14836812.833486434,-2.2250000000000063,0.3029115020343605,-2.075000000000007,6.35598631484804
18,144,-2.315946102142334,-2.287270002220815,-2.2990739345550537,-2.287270002220815,0.3080469965934753,13993329.014070323,-2.2250000000000063,0.30196703068920083,-2.1250000000000067,6.3156579669148805
23,145,-2.3327598571777344,-2.2999135215465842,-2.324930191040039,-2.2999135215465842,0.318726122379303,16245612.757020324,-2.2250000000000063,0.32611598715600115,-2.075000000000007,7.047528603975996
34,146,-2.3241870403289795,-2.2955539839608328,-2.323971033096313,-2.2955539839608328,0.3058218061923981,18836704.912116148,-2.2250000000000063,0.31015493676421135,-2.1250000000000067,6.834656552836089
45,147,-2.3130152225494385,-2.287080365665928,-2.333913564682007,-2.287080365665928,0.30240145325660706,25118210.426933583,-2.2250000000000063,0.2963329013582235,-2.075000000000007,7.272646159428918
58,148,-2.302887201309204,-2.2754293169294084,-2.3525829315185547,-2.2754293169294084,0.2968381345272064,28075004.00472532,-2.2250000000000063,0.2689985777809587,-2.075000000000007,7.559329656733322
72,149,-2.2420904636383057,-2.213267068349606,-2.345418930053711,-2.213267068349606,0.28523489832878113,25749010.82550381,-2.1750000000000065,0.22876866537263216,-2.025000000000007,7.465873879235863
3,150,-2.18631911277771,-2.1571783698727733,-2.2217085361480717,-2.1571783698727733,0.2803945541381836,20386502.305102855,-2.1250000000000067,0.2401231219706635,-1.9750000000000072,7.456057436265594
9,151,-2.0401957035064697,-2.032127318866011,-2.055588960647583,-2.032127318866011,0.24859461188316345,6244180.821801383,-2.025000000000007,0.20853415770019595,-1.825000000000008,7.2068902747362715
22,172,-1.7702815532684326,-1.8362747291270336,-1.7827928066253662,-1.8362747291270336,0.4517578482627869,,,,,
28,173,-2.0643832683563232,-2.034454106841326,-2.0446901321411133,-2.034454106841326,0.4981813430786133,38951.278526980546,-2.025000000000007,0.18308590783138431,-1.725000000000008,4.894804535462407
40,174,-2.1291306018829346,-2.090080474905242,-2.123495101928711,-2.090080474905242,0.4593921899795532,228561.6187266158,-2.075000000000007,0.4739450494018031,-2.075000000000007,2.6688747936949393
51,175,-2.087292194366455,-2.0834874017940628,-2.0788500308990483,-2.0834874017940628,0.43095794320106506,405639.4651428577,-1.9750000000000072,0.4338138185336143,-1.9250000000000076,2.574618764934427
64,176,-2.0922133922576904,-2.0869712696660816,-2.095499038696289,-2.0869712696660816,0.4134001135826111,488999.9160059938,-1.9750000000000072,0.43935385852645215,-1.9750000000000072,3.7446819127278617
78,177,-2.0450694561004643,-2.061933783705289,-2.0403766632080083,-2.061933783705289,0.3939779996871948,546248.7925468632,-2.0250000000000035,0.35739649462492074,-2.0250000000000035,3.3053946238683696
92,178,-2.025643110275269,-2.0422316114282184,-2.0258502960205083,-2.0422316114282184,0.37015920877456665,789525.9776936293,-1.9750000000000072,0.3211033098552296,-1.9250000000000076,3.3604805802914512
106,179,-1.986942768096924,-2.0214140089662087,-1.9878945350646973,-2.0214140089662087,0.3561098277568817,814559.7443766729,-2.025000000000007,0.2601201421034978,-2.025000000000007,3.4080358239747413
25,180,-1.9847432374954224,-2.0164290912639493,-1.9892174005508425,-2.0164290912639493,0.3584607243537903,986026.3634532054,-2.025000000000007,0.24967292011025674,-2.025000000000007,3.3401623005541636
37,181,-1.986756682395935,-2.0226342191718887,-2.0015499591827397,-2.0226342191718887,0.3566639125347137,1257835.2027362168,-2.025000000000007,0.2450948533190862,-1.9750000000000072,3.8905338874362623
49,182,-1.9913467168807983,-2.022300859970775,-2.023587942123413,-2.022300859970775,0.3441867828369141,1121564.2962029008,-2.025000000000007,0.2287213745656823,-1.9750000000000072,4.2792076779329795
61,183,-1.9870154857635496,-2.0090087932208496,-2.0134079456329346,-2.0090087932208496,0.34427645802497864,1932141.7125214557,-1.9750000000000072,0.2459944923703269,-1.9250000000000076,4.555471725288826
76,184,-1.97313392162323,-1.997755939933608,-1.986417412757873,-1.997755939933608,0.33663496375083923,1772498.7584037925,-1.9750000000000072,0.23699599856989365,-1.8750000000000075,4.019133800126619
89,185,-1.980149865150452,-2.0036592483520512,-1.9997354745864868,-2.0036592483520512,0.3394828736782074,1702442.5871424468,-1.9750000000000072,0.24529455014112156,-1.8750000000000075,4.0259748016696255
103,186,-1.959033846855164,-1.989208492942768,-1.969531774520874,-1.989208492942768,0.3220107853412628,1293973.6172716727,-1.9750000000000072,0.224063054218252,-1.9250000000000076,4.007925481499711
116,187,-1.959447145462036,-1.9869349420417184,-1.9734045267105105,-1.9869349420417184,0.31957072019577026,1301157.597769504,-2.025000000000007,0.19506061519119658,-1.9750000000000072,4.046230598683494
135,188,-1.9584360122680664,-1.9870945735169765,-1.984990358352661,-1.9870945735169765,0.3194097876548767,1880900.554455959,-1.9750000000000072,0.21093412853595583,-1.9750000000000072,4.227695745330731
149,189,-1.9599835872650144,-1.9837378420269995,-1.9947017431259155,-1.9837378420269995,0.317234605550766,2655535.604851747,-1.975000000000004,0.20803165726584602,-1.8750000000000042,4.829992333340767
27,190,-1.93795645236969,-1.9588946934658311,-1.964906454086304,-1.9588946934658311,0.29716792702674866,3424715.20783766,-1.925000000000004,0.203237073542444,-1.8750000000000042,5.913490190324343
39,191,-1.9385725259780884,-1.9546848398079693,-1.946318864822388,-1.9546848398079693,0.29587721824646,3750089.2696566437,-1.9750000000000072,0.1828876662900073,-1.8750000000000075,5.829608041037804
