Unnamed: 0,snap,mean_mass,median_mass,mean_vol,median_vol,std,A,mu,sigma,alpha,z_T
1,110,-2.1673753261566158,-2.091200923574144,-2.210756063461304,-2.091200923574144,0.4028561413288117,17724658.91605893,-2.025000000000007,0.4286471464916873,-1.8750000000000075,5.659610931251032
7,111,-2.095566272735596,-2.0110336744038517,-2.2274131774902344,-2.0110336744038517,0.395746111869812,22288247.64560765,-1.9250000000000076,0.3205678406834246,-1.7750000000000081,7.097039987584023
11,112,-1.981071710586548,-1.9079751475826725,-2.242241382598877,-1.9079751475826725,0.3631091415882111,21415887.560078762,-1.825000000000008,0.2675899543558703,-1.725000000000008,7.100743277784135
16,113,-1.9735088348388672,-1.8988557110624096,-2.0047566890716557,-1.8988557110624096,0.3907315135002136,6626014.2394009875,-1.7750000000000081,0.37009936636766355,-1.6750000000000085,6.485840125993575
19,114,-1.8882812261581419,-1.8001857904990382,-1.780439019203186,-1.8001857904990382,0.3176703155040741,2.6316170320380427e-06,-1.5750000000000048,9.999999998493372e-11,,
31,116,-1.303791642189026,-1.30379163193881,-1.399339199066162,-1.30379163193881,0.3135893642902374,,,,,
55,118,-2.3669159412384038,-2.2762807515061017,-2.2804574966430664,-2.2762807515061017,0.5517796277999878,,,,,
69,119,-2.2386958599090576,-2.181630867297211,-2.193878173828125,-2.181630867297211,0.4860210716724396,,,,,
4,120,-2.1866977214813232,-2.1330022447219203,-2.1628787517547607,-2.1330022447219203,0.44055530428886414,,,,,
8,121,-2.298268318176269,-2.2482342527960735,-2.22894549369812,-2.2482342527960735,0.4692616164684296,,,,,
12,122,-2.4941656589508057,-2.522559816187078,-2.4313957691192627,-2.522559816187078,0.5197844505310059,2547149.3257943303,-3.0250000000000035,0.2162951634084564,-2.825000000000004,0.9509157623935408
15,123,-2.5037758350372314,-2.5329858446860056,-2.53955340385437,-2.5329858446860056,0.5471992492675781,2175407.0616310183,-3.0250000000000035,0.23735087832721796,-2.7750000000000044,0.9986083309057407
20,124,-2.513015985488892,-2.49141350712072,-2.5559067726135254,-2.49141350712072,0.6007431745529175,,,,,
24,125,-2.4833381175994877,-2.4312040020387307,-2.524619102478028,-2.4312040020387307,0.6047458052635193,,,,,
36,126,-2.307616710662842,-2.1946041811551296,-2.364951133728028,-2.1946041811551296,0.5189008712768555,,,,,
47,127,-2.26295804977417,-2.172700326373296,-2.3265094757080083,-2.172700326373296,0.4716973602771759,,,,,
60,128,-2.262180089950561,-2.181352339224852,-2.300917148590088,-2.181352339224852,0.4629288613796234,,,,,
77,129,-2.286996841430664,-2.2151491577815934,-2.334926128387451,-2.2151491577815934,0.4677095115184784,,,,,
2,130,-2.2596328258514404,-2.1990005736115315,-2.303156614303589,-2.1990005736115315,0.4392345249652863,,,,,
5,131,-2.2532613277435303,-2.201847710963564,-2.3367722034454346,-2.201847710963564,0.4208932518959045,,,,,
13,132,-2.1870901584625244,-2.124008670362454,-2.322251081466675,-2.124008670362454,0.3930024206638336,10932069.999999998,-1.9750000000000072,0.4492893163261025,-1.825000000000008,6.409503177259409
17,133,-2.13946270942688,-2.070568153183232,-2.195563554763794,-2.070568153183232,0.3845727145671845,11792197.760699932,-1.9250000000000076,0.4456877510212072,-1.7750000000000081,6.886231646048965
21,134,-2.1580395698547363,-2.0956655883445707,-2.170695543289185,-2.0956655883445707,0.3812350928783417,9926589.999999836,-1.9250000000000076,0.47629048978373106,-1.7750000000000081,6.7175912087179
26,135,-2.1827840805053706,-2.121425751213716,-2.1840193271636963,-2.121425751213716,0.388026773929596,10850499.99999994,-1.9250000000000076,0.49016627541256486,-1.825000000000008,6.28621368329259
38,136,-2.1876366138458248,-2.1236885244196118,-2.1899471282958984,-2.1236885244196118,0.3898362815380096,12763919.999999996,-1.9750000000000072,0.5164570336469024,-1.8750000000000075,5.383001675313102
50,137,-2.1822571754455566,-2.1233249357133204,-2.180124282836914,-2.1233249357133204,0.3774809241294861,15564359.999999998,-1.9750000000000072,0.4976097110356499,-1.825000000000008,6.413696709478758
63,138,-2.1844351291656494,-2.1349782158292063,-2.2086222171783447,-2.1349782158292063,0.3652583956718445,,,,,
74,139,-2.1291520595550537,-2.0766565529696908,-2.207796335220337,-2.0766565529696908,0.340269148349762,26838382.64382149,-1.9750000000000072,0.4234965466010449,-1.7750000000000081,7.518179378590332
0,140,-2.074057579040528,-2.0216426373717202,-2.127152681350708,-2.0216426373717202,0.3273528516292572,27463764.062752377,-1.9250000000000076,0.37059466925806106,-1.7750000000000081,7.227003061085667
6,141,-2.0315201282501216,-1.9809811099370318,-2.0629620552062993,-1.9809811099370318,0.31901946663856506,22140320.086709905,-1.9250000000000076,0.3428484674398714,-1.825000000000008,6.104647587929311
10,142,-1.99687135219574,-1.9505194984442835,-1.9969550371170044,-1.9505194984442835,0.3132942914962769,18382717.068338916,-1.8750000000000075,0.3207747346118554,-1.725000000000008,7.603044954753056
14,143,-1.9813883304595947,-1.9350998469354148,-1.9577668905258176,-1.9350998469354148,0.31522420048713684,14715075.452775747,-1.8750000000000075,0.3157797164393995,-1.6750000000000085,7.806694934793185
18,144,-1.982034683227539,-1.939233120576835,-1.9666869640350344,-1.939233120576835,0.30672356486320496,13944868.938473172,-1.8750000000000075,0.3184636411302516,-1.725000000000008,7.436815202214836
23,145,-1.9990466833114624,-1.9529946122220925,-1.993813753128052,-1.9529946122220925,0.31833213567733765,16235138.477610681,-1.8750000000000075,0.3471812070010419,-1.725000000000008,7.525809758542266
34,146,-1.9901163578033447,-1.9472573598225908,-1.9906965494155884,-1.9472573598225908,0.30427491664886475,18793845.885828197,-1.8750000000000075,0.3317297411288153,-1.725000000000008,7.740366996642252
45,147,-1.9823310375213623,-1.9419215891483057,-2.004587888717652,-1.9419215891483057,0.29818132519721985,25341157.52248239,-1.8750000000000075,0.31774345438915097,-1.725000000000008,7.752160576761073
58,148,-1.9725860357284544,-1.9304351493290488,-2.0247199535369877,-1.9304351493290488,0.2921905517578125,28453385.079933725,-1.8750000000000075,0.28935390692031854,-1.725000000000008,8.056511809649837
72,149,-1.9013223648071291,-1.8610050294358849,-2.0144579410552983,-1.8610050294358849,0.28553250432014465,25393416.747742243,-1.825000000000008,0.24239772143201063,-1.725000000000008,7.001011505706453
3,150,-1.834164261817932,-1.7984691179386705,-1.8724579811096191,-1.7984691179386705,0.28435152769088745,23131178.590134688,-1.725000000000008,0.2747934945785138,-1.6250000000000084,7.085701946525539
9,151,-1.6847606897354126,-1.6703755474367807,-1.7209933996200562,-1.6703755474367807,0.24748395383358,7218157.738208006,-1.6250000000000049,0.24061208905667544,-1.5250000000000052,6.230053450640837
22,172,-1.671844244003296,-1.6738961942113493,-1.6865514516830444,-1.6738961942113493,0.4987660944461823,1388.7411564233691,-1.6750000000000047,0.033236762725111654,-1.4750000000000054,175.54058530690702
28,173,-1.952726125717163,-1.8462722506821727,-1.9412292242050169,-1.8462722506821727,0.4547329545021057,41162.206823456014,-1.7750000000000081,0.1472324765225749,-1.5750000000000086,4.457726810127017
40,174,-1.9660897254943848,-1.875495841054044,-1.9630134105682373,-1.875495841054044,0.43044644594192505,284509.7804602754,-1.725000000000008,0.49450914090864234,-1.725000000000008,4.608497705354193
51,175,-1.939483642578125,-1.8578641216356644,-1.929043650627136,-1.8578641216356644,0.3853498995304108,433626.84419323545,-1.7250000000000043,0.4679476224565331,-1.7250000000000043,5.338910793712262
64,176,-1.9369845390319824,-1.8589414678101692,-1.9370511770248413,-1.8589414678101692,0.3690385818481445,474025.39151880686,-1.7750000000000044,0.4897306922453753,-1.7250000000000043,4.736847591479843
78,177,-1.8993315696716309,-1.8364534016431548,-1.8886164426803589,-1.8364534016431548,0.3393309414386749,529578.589196867,-1.825000000000004,0.4110123398001955,-1.825000000000004,3.414370547519844
92,178,-1.872164607048035,-1.8169017990794416,-1.8679001331329343,-1.8169017990794416,0.3164754807949066,845134.1680053466,-1.7250000000000043,0.32974050845052544,-1.7250000000000043,5.777069436269972
106,179,-1.8570752143859863,-1.812240764026728,-1.8581559658050537,-1.812240764026728,0.2989865839481354,961193.7195360817,-1.7750000000000044,0.31925968783097675,-1.7750000000000044,4.522546007356368
25,180,-1.861929178237915,-1.8154645575930468,-1.8643745183944704,-1.8154645575930468,0.2918453812599182,1192558.4624109808,-1.7750000000000044,0.31375930130591106,-1.7250000000000043,5.910988572804899
37,181,-1.8645219802856443,-1.819562847884196,-1.8778423070907595,-1.819562847884196,0.2898029685020447,1526773.2917520828,-1.7750000000000044,0.31029392691345276,-1.7250000000000043,6.2229578299799595
49,182,-1.8587101697921755,-1.817163999503188,-1.8846714496612549,-1.817163999503188,0.2869405448436737,1366749.9383600599,-1.7750000000000044,0.2919530835412203,-1.7250000000000043,6.727540264875236
61,183,-1.8488107919692995,-1.8090165914318932,-1.8640336990356443,-1.8090165914318932,0.2796323001384735,2007510.2798491027,-1.7750000000000044,0.27799241068613934,-1.7750000000000044,4.851494388817601
76,184,-1.8338582515716555,-1.7982866169987015,-1.8421797752380369,-1.7982866169987015,0.26987123489379883,1816851.3998483175,-1.7750000000000081,0.25485156147381616,-1.725000000000008,6.263871820822106
89,185,-1.8367736339569087,-1.7995272385740446,-1.8410433530807493,-1.7995272385740446,0.26571759581565857,1721404.29578147,-1.7750000000000044,0.2547357252173315,-1.7250000000000043,6.069826565135281
103,186,-1.8304797410964968,-1.8002350539237062,-1.8280127048492432,-1.8002350539237062,0.2577018141746521,1392333.173509589,-1.7750000000000044,0.24471762492757915,-1.7750000000000044,5.097715310049852
116,187,-1.8301005363464355,-1.7983381876705389,-1.830381989479065,-1.7983381876705389,0.2562727332115173,1722829.6440112847,-1.7750000000000044,0.24310448729976816,-1.6750000000000047,7.7510604127352405
135,188,-1.829395055770874,-1.8012512492641644,-1.8381267786026,-1.8012512492641644,0.2533719837665558,2422941.434828979,-1.7250000000000043,0.26179362552335445,-1.6750000000000047,8.321643990848003
149,189,-1.829821228981018,-1.8017211243556093,-1.8468282222747805,-1.8017211243556093,0.25245457887649536,2918389.1139074564,-1.7750000000000044,0.23973367624026323,-1.7250000000000043,6.546078584802543
27,190,-1.794851303100586,-1.770368369160451,-1.811556339263916,-1.770368369160451,0.2303069531917572,3592282.508485371,-1.7250000000000043,0.20824463584006278,-1.6250000000000049,9.448175295808328
39,191,-1.7778034210205078,-1.7548806945166264,-1.779834270477295,-1.7548806945166264,0.23325937986373899,4672173.391452256,-1.7250000000000043,0.2018635612158996,-1.6250000000000049,8.34316112027694
52,192,-1.7853246927261353,-1.7593834314599048,-1.7903136014938354,-1.7593834314599048,0.2340075969696045,3228373.7045654035,-1.7250000000000043,0.20571586569212302,-1.6250000000000049,8.938469944335948
67,193,-1.7861088514328003,-1.7683821808925817,-1.787925362586975,-1.7683821808925817,0.2245883345603943,2054428.9630034883,-1.7250000000000043,0.2035087117088899,-1.6250000000000049,8.905581712840238
81,194,-1.7808679342269895,-1.7665380128790882,-1.7800710201263428,-1.7665380128790882,0.21584196388721466,1773011.5411437042,-1.7250000000000043,0.19978238453415628,-1.6250000000000049,8.961819061721233
93,195,-1.7825627326965332,-1.766594151296493,-1.7894868850708008,-1.766594151296493,0.2140335887670517,1121370.8035218192,-1.7250000000000043,0.19762325059415647,-1.6250000000000049,9.34145983294721
108,196,-1.7718948125839231,-1.7601121953147614,-1.7779586315155032,-1.7601121953147614,0.210075244307518,1884179.1464018156,-1.7250000000000043,0.1892935402041853,-1.6250000000000049,8.689348927814704
121,197,-1.7760398387908936,-1.7590886786303768,-1.7814561128616333,-1.7590886786303768,0.211160272359848,2663157.459079372,-1.7250000000000043,0.18921361545791782,-1.6250000000000049,9.130215452741313
136,198,-1.7776739597320557,-1.7617161603280498,-1.7841241359710691,-1.7617161603280498,0.2135561555624008,3182322.5979245272,-1.7250000000000043,0.18874058200930785,-1.6250000000000049,9.57997078174237
151,199,-1.7756110429763794,-1.7596051555462433,-1.781879186630249,-1.7596051555462433,0.2153405249118805,3496749.4549009893,-1.7250000000000043,0.18456471872019198,-1.6250000000000049,9.338029000599313
29,200,-1.7790764570236206,-1.7619296381259688,-1.783677339553833,-1.7619296381259688,0.21679654717445374,3687274.2909014733,-1.7250000000000043,0.18881406972379775,-1.6250000000000049,9.22936156594445
41,201,-1.7781021595001218,-1.7617410899418864,-1.7864564657211304,-1.7617410899418864,0.21604430675506592,3855968.0058440794,-1.7250000000000043,0.18160355303739756,-1.6750000000000047,8.33028971920813
54,202,-1.7793836593627932,-1.7616252247227795,-1.7913734912872314,-1.7616252247227795,0.2149917334318161,4310758.872501468,-1.7250000000000043,0.17499135494540247,-1.6750000000000047,8.682243290746703
66,203,-1.782105565071106,-1.7628434467315677,-1.7996170520782468,-1.7628434467315677,0.21557047963142395,4994358.348132938,-1.7250000000000043,0.17419623845198962,-1.6750000000000047,8.858529154499642
80,204,-1.7790563106536863,-1.7614264224227325,-1.7951483726501465,-1.7614264224227325,0.2108144462108612,5656173.438824878,-1.7250000000000043,0.16988016944142756,-1.6750000000000047,9.169775447092256
96,205,-1.775135517120361,-1.7580438530578568,-1.7954872846603394,-1.7580438530578568,0.20603446662425995,5758465.296171643,-1.7250000000000043,0.16454473422161964,-1.6750000000000047,9.629185119575572
