Unnamed: 0,snap,mean_mass,median_mass,mean_vol,median_vol,std,A,mu,sigma,alpha,z_T
1,110,-2.6257038116455083,-2.607188719704693,-2.670314073562622,-2.607188719704693,0.36422035098075867,17146589.179449476,-2.5750000000000046,0.40330138732504345,-2.2250000000000063,5.207194006911406
7,111,-2.54343843460083,-2.4987090892261934,-2.6694579124450684,-2.4987090892261934,0.3600641191005707,23286534.864407882,-2.4250000000000056,0.3850758079634326,-2.2250000000000063,5.58088472004588
11,112,-2.450326681137085,-2.395229112658511,-2.672554016113281,-2.395229112658511,0.3454316258430481,24547853.734672677,-2.275000000000006,0.3789714339787279,-2.1750000000000065,6.1222297937359
16,113,-2.5249686241149902,-2.4892323433152783,-2.561040163040161,-2.4892323433152783,0.3705156147480011,,,,,
19,114,-2.3629283905029297,-2.3691280561139925,-2.324182510375977,-2.3691280561139925,0.1861041635274887,,,,,
31,116,-1.340633749961853,-1.3406338557930306,-1.3400945663452148,-1.3406338557930306,0.0017701983451843262,2.684343080470214e-06,-1.3249999999999993,9.999999998493372e-11,,
55,118,-2.14552640914917,-2.131493343647711,-2.1064975261688232,-2.131493343647711,0.3755318820476532,172752.23919560493,-2.1250000000000067,0.3528138755788464,-1.6750000000000085,6.427282792309852
69,119,-2.4893958568573,-2.4966617053437306,-2.4284088611602783,-2.4966617053437306,0.417024701833725,,,,,
4,120,-2.424135684967041,-2.4288253085366613,-2.4209022521972656,-2.4288253085366613,0.4015525281429291,,,,,
8,121,-2.589120626449585,-2.598035869084399,-2.518606185913086,-2.598035869084399,0.5059514045715332,,,,,
12,122,-2.8001279830932617,-2.8764685860068515,-2.7054789066314697,-2.8764685860068515,0.4970647096633911,3445431.542843444,-3.2250000000000028,0.20410632341757126,-2.9250000000000043,1.3144991946930311
15,123,-2.6976406574249268,-2.7207761575269185,-2.738866090774536,-2.7207761575269185,0.5308469533920288,2218218.742094528,-3.2250000000000028,0.2124282174872183,-2.875000000000004,1.1330333164932958
20,124,-2.519862651824951,-2.4601712068351103,-2.5903196334838867,-2.4601712068351103,0.5820920467376709,,,,,
24,125,-2.4097487926483154,-2.3215207266008715,-2.5366806983947754,-2.3215207266008715,0.5614578723907471,,,,,
36,126,-2.1960039138793945,-2.123015173233642,-2.3265395164489746,-2.123015173233642,0.4893496930599213,2163879.9999999995,-1.9750000000000072,0.435192715588601,-1.7750000000000081,4.725829251110811
47,127,-2.217888593673706,-2.1673117429018016,-2.316719055175781,-2.1673117429018016,0.4492350518703461,3984324.9999999963,-2.075000000000007,0.42645928976674324,-1.7750000000000081,5.262919576811431
60,128,-2.211395025253296,-2.1581028983214767,-2.2994134426116943,-2.1581028983214767,0.43683385848999023,5287624.999999996,-2.025000000000007,0.4170622409425211,-1.8750000000000075,4.547285136555686
77,129,-2.254260540008545,-2.1947165290011634,-2.346251964569092,-2.1947165290011634,0.4448164999485016,6657993.150972421,-2.1750000000000065,0.3985584844668443,-1.9750000000000072,4.061107099057353
2,130,-2.225766181945801,-2.1721899185383418,-2.305506467819214,-2.1721899185383418,0.4248281121253967,6913569.371775453,-2.1250000000000067,0.40143973578615405,-1.7750000000000081,6.036363053928054
5,131,-2.22499942779541,-2.172498019865757,-2.360815525054932,-2.172498019865757,0.4113355278968811,9073879.999999998,-2.025000000000007,0.41654494478821485,-1.8750000000000075,5.150322490043377
13,132,-2.1900527477264404,-2.1377217447560777,-2.3645808696746826,-2.1377217447560777,0.379004031419754,10291565.364040947,-2.025000000000007,0.37884768094874727,-1.8750000000000075,5.893181057377786
17,133,-2.1988475322723393,-2.1482392533717407,-2.2560086250305176,-2.1482392533717407,0.3670235276222229,11268376.056410389,-2.025000000000007,0.39871934427100053,-1.8750000000000075,6.165732561510797
21,134,-2.2508814334869385,-2.213113450317932,-2.260472059249878,-2.213113450317932,0.36353862285614014,9234269.999999996,-2.075000000000007,0.4239331697548005,-1.8750000000000075,6.490391187473533
26,135,-2.280986785888672,-2.2455113557364434,-2.2832133769989014,-2.2455113557364434,0.36716628074646,,,,,
38,136,-2.285799980163574,-2.2458747571294237,-2.2926499843597408,-2.2458747571294237,0.3713207244873047,12012569.999999998,-2.1750000000000065,0.45502379839344154,-1.8750000000000075,6.400036028808029
50,137,-2.2789535522460938,-2.242704051664506,-2.300312042236328,-2.242704051664506,0.3621713221073151,,,,,
63,138,-2.284579277038574,-2.2508819410577416,-2.3565433025360107,-2.2508819410577416,0.3555005788803101,20040719.999999996,-2.1750000000000065,0.42940675847759874,-1.9250000000000076,6.05631175008591
74,139,-2.2568085193634038,-2.2218981188450133,-2.369441032409668,-2.2218981188450133,0.3347233235836029,26273807.64699713,-2.1250000000000067,0.41164085882754464,-1.9250000000000076,6.45624131674747
0,140,-2.245420217514038,-2.208240990638733,-2.317473888397217,-2.208240990638733,0.3214966356754303,26572626.734244797,-2.1250000000000067,0.37923810148537307,-1.9250000000000076,6.98568799210848
6,141,-2.249828100204468,-2.2118365209541406,-2.276848316192627,-2.2118365209541406,0.3162369132041931,26890605.071940444,-2.075000000000007,0.4044621662490015,-1.9750000000000072,6.7370608311838875
10,142,-2.2514429092407227,-2.215569957211107,-2.2516531944274902,-2.215569957211107,0.3125372529029846,19365826.81411693,-2.1250000000000067,0.37140644169606796,-1.9250000000000076,7.754369423267984
14,143,-2.256451368331909,-2.214635850068165,-2.237492561340332,-2.214635850068165,0.3152356445789337,16273038.73546073,-2.1250000000000067,0.38339915074720693,-1.9250000000000076,8.095829700102227
18,144,-2.2586495876312256,-2.2230099714719334,-2.247851848602295,-2.2230099714719334,0.30702582001686096,15332476.623646302,-2.1250000000000067,0.38126504828411917,-1.9750000000000072,7.007732054878916
23,145,-2.275579929351806,-2.2368974282191347,-2.2715988159179688,-2.2368974282191347,0.3216675519943237,17509799.70713153,-2.1250000000000067,0.400367619919637,-1.9750000000000072,7.043013020331488
34,146,-2.265857458114624,-2.232145228838025,-2.268775224685669,-2.232145228838025,0.3093749284744263,20266127.446453087,-2.1250000000000067,0.3847421315895407,-1.9750000000000072,7.199649275331322
45,147,-2.255412578582764,-2.2233056836011933,-2.2845335006713867,-2.2233056836011933,0.30242714285850525,27169087.54287136,-2.1250000000000067,0.36857040499022725,-1.9750000000000072,7.1692011063705845
58,148,-2.246845245361328,-2.210419143949236,-2.316688776016236,-2.210419143949236,0.2985421717166901,30704984.86907699,-2.1250000000000067,0.34173080705865916,-1.9750000000000072,7.640833052049745
72,149,-2.206851959228516,-2.1624311671378598,-2.3144679069519043,-2.1624311671378598,0.2858749330043793,30768299.451704085,-2.075000000000007,0.3152656163740606,-1.9250000000000076,8.71413116747564
3,150,-2.167478084564209,-2.124309778213501,-2.2090303897857666,-2.124309778213501,0.2812488675117493,25721469.397983246,-2.025000000000007,0.3357365576150651,-1.9250000000000076,7.770768407040133
9,151,-2.145678997039795,-2.1128557441017843,-2.1454923152923584,-2.1128557441017843,0.24813362956047055,8380411.62905314,-2.025000000000007,0.29890267177053187,-1.9250000000000076,9.308692918354547
22,172,-0.9107980132102966,-0.9482794745646091,-0.9331367611885072,-0.9482794745646091,0.4161437153816223,2.680437878950108e-06,-1.3749999999999996,9.999999998493372e-11,-1.2749999999999997,0.772575927378138
28,173,-1.3731145858764648,-1.4743786813987236,-1.35081684589386,-1.4743786813987236,0.4947138130664826,51978.40022828059,-1.5250000000000052,0.3031987615261646,-1.4750000000000054,1.6865907891276877
40,174,-1.4676367044448853,-1.516001426363341,-1.451505184173584,-1.516001426363341,0.434353768825531,238982.3474188564,-1.4750000000000054,0.37374139563450043,-1.4750000000000054,2.6975133092911805
51,175,-1.469174027442932,-1.5225035675319307,-1.4850454330444336,-1.5225035675319307,0.3854748010635376,314680.71876585943,-1.5250000000000052,0.29237910376453446,-1.4250000000000056,2.8572916508542114
64,176,-1.4514179229736328,-1.5062242526083942,-1.477925419807434,-1.5062242526083942,0.3496203124523163,352385.77266269096,-1.5250000000000052,0.24979341369751357,-1.3250000000000057,3.023857018532679
78,177,-1.4502514600753784,-1.5014874208606754,-1.4811289310455322,-1.5014874208606754,0.35091158747673035,454133.8030537777,-1.5250000000000052,0.24542073192234284,-1.275000000000006,3.347728544711935
92,178,-1.4777176380157468,-1.5136322939956794,-1.5282545089721682,-1.5136322939956794,0.34739235043525696,631880.7685805253,-1.5250000000000052,0.24873524620918447,-1.275000000000006,3.139851405871126
106,179,-1.4674397706985474,-1.5035658853073326,-1.5228615999221802,-1.5035658853073326,0.3279792368412018,919294.2711187216,-1.4750000000000054,0.261008241104747,-1.4250000000000056,3.974708288706926
25,180,-1.4906986951828003,-1.5105102538666173,-1.5377955436706543,-1.5105102538666173,0.33866333961486816,1145162.6515327522,-1.4750000000000054,0.274034119175119,-1.4250000000000056,4.462205839467794
37,181,-1.5083287954330444,-1.52004432990996,-1.5703235864639282,-1.52004432990996,0.3326287865638733,1262634.4752603096,-1.5250000000000052,0.2581270489143238,-1.4250000000000056,4.549448828983765
49,182,-1.5305384397506714,-1.5399803927010518,-1.6078579425811768,-1.5399803927010518,0.3249068856239319,1441893.0356087966,-1.4750000000000054,0.30938862830499037,-1.4250000000000056,4.600901898204417
61,183,-1.565792441368103,-1.5689128121655238,-1.6181696653366089,-1.5689128121655238,0.3348981738090515,2262356.334622369,-1.4750000000000054,0.3301759491868289,-1.4250000000000056,5.198875614357327
76,184,-1.5788711309432983,-1.5851526510007197,-1.601379632949829,-1.5851526510007197,0.3224536776542664,1732811.6804668466,-1.5750000000000048,0.2831236306339356,-1.3750000000000058,5.56747140582495
89,185,-1.5967838764190674,-1.5936464199531404,-1.6323362588882446,-1.5936464199531404,0.3312525451183319,1905894.697980609,-1.5250000000000052,0.326985592812273,-1.4250000000000056,5.249714390756595
103,186,-1.55836021900177,-1.5664489864092617,-1.5979982614517212,-1.5664489864092617,0.3064083158969879,1417730.3560313238,-1.5250000000000052,0.28693326451036194,-1.3750000000000058,5.748553349654191
116,187,-1.5555871725082395,-1.5637144512117398,-1.5851401090621948,-1.5637144512117398,0.29796892404556274,2049569.9492819062,-1.4750000000000054,0.31548500480019426,-1.4250000000000056,5.31072753247537
135,188,-1.5672978162765503,-1.574574710477114,-1.6141203641891482,-1.574574710477114,0.3100740313529968,2174387.5742140934,-1.5250000000000052,0.2980038351463042,-1.3750000000000058,6.656669335008984
149,189,-1.5744247436523438,-1.5757189042168884,-1.632603883743286,-1.5757189042168884,0.30415093898773193,2660788.3143808087,-1.5750000000000048,0.26027445780562514,-1.4250000000000056,5.821225457609296
27,190,-1.5736019611358645,-1.5703995262091153,-1.6234025955200195,-1.5703995262091153,0.2892059087753296,3591656.5424886323,-1.5250000000000052,0.2731332889016667,-1.3750000000000058,7.4160809518065935
39,191,-1.6161717176437378,-1.6065701240354298,-1.6310257911682131,-1.6065701240354298,0.2925634384155273,5487788.485393783,-1.5250000000000052,0.30633460974905113,-1.4250000000000056,6.62178513742293
52,192,-1.651498794555664,-1.634833774106757,-1.6830016374588013,-1.634833774106757,0.316635936498642,3911279.6725824126,-1.5250000000000052,0.3565963939939896,-1.4250000000000056,6.619429886135379
67,193,-1.6132934093475342,-1.5994700560939212,-1.6429891586303709,-1.5994700560939212,0.3082228899002075,2153994.822798081,-1.5250000000000052,0.31058415277130386,-1.4250000000000056,6.530416683539116
81,194,-1.5882847309112549,-1.5829124148538334,-1.6028459072113037,-1.5829124148538334,0.2862708270549774,1802562.2312226607,-1.5250000000000052,0.2827736701255724,-1.3750000000000058,7.689682622312295
93,195,-1.5712385177612305,-1.5697706748577096,-1.5964027643203735,-1.5697706748577096,0.2896780073642731,945081.1352115514,-1.5750000000000048,0.2549681262379382,-1.4750000000000054,5.295744654233323
108,196,-1.5451836585998535,-1.5463603630525562,-1.5507667064666748,-1.5463603630525562,0.2604859471321106,1764804.1000607496,-1.5250000000000052,0.23939830944230303,-1.3750000000000058,7.321116307834067
121,197,-1.5663533210754397,-1.5659730764186381,-1.57766854763031,-1.5659730764186381,0.25845420360565186,2704762.8507760894,-1.5250000000000052,0.25245986166650974,-1.4250000000000056,6.539673397990458
136,198,-1.5792021751403809,-1.5789678211548537,-1.600980281829834,-1.5789678211548537,0.2611164152622223,3855747.269554589,-1.4750000000000054,0.2965583893702162,-1.4250000000000056,6.5989605713354
151,199,-1.5912086963653564,-1.5863470448747,-1.6117233037948608,-1.5863470448747,0.2686152160167694,3788351.04072224,-1.5250000000000052,0.27357787588493543,-1.4250000000000056,6.884505681717576
29,200,-1.603833794593811,-1.5953725211032026,-1.6204814910888672,-1.5953725211032026,0.27112510800361633,3455484.897321956,-1.5750000000000048,0.2574291268840041,-1.3750000000000058,8.412626796198873
41,201,-1.599313497543335,-1.5930762417466204,-1.627432346343994,-1.5930762417466204,0.2648710310459137,4223457.033726059,-1.5250000000000052,0.27093711685001926,-1.4250000000000056,7.195832050588708
54,202,-1.6018279790878296,-1.5920663448791306,-1.6465837955474854,-1.5920663448791306,0.2672955393791199,4684589.042667609,-1.5250000000000052,0.2644243683728713,-1.4250000000000056,7.497581166101414
66,203,-1.6084527969360352,-1.5934145871857952,-1.652689814567566,-1.5934145871857952,0.2697295248508453,5368082.935958593,-1.5250000000000052,0.26227698561090845,-1.4250000000000056,7.726325996034754
80,204,-1.608431696891785,-1.594882956191675,-1.645607829093933,-1.594882956191675,0.2652393579483032,6196974.687678244,-1.5250000000000052,0.26271811887592705,-1.4250000000000056,7.943235790965332
96,205,-1.6044526100158691,-1.591235669773145,-1.6509981155395508,-1.591235669773145,0.2569489777088165,6363033.683521784,-1.5250000000000052,0.25436855004439163,-1.4250000000000056,8.148040141891402
109,206,-1.604352951049805,-1.5852457001832951,-1.6720418930053709,-1.5852457001832951,0.2520374655723572,4920241.62262553,-1.5250000000000052,0.23905712374642155,-1.4250000000000056,8.637628522958193
123,207,-1.617695689201355,-1.59413027378562,-1.6497546434402466,-1.59413027378562,0.25586187839508057,7248033.43517259,-1.5250000000000052,0.24813821639452105,-1.4250000000000056,9.262961970183577
138,208,-1.623973369598389,-1.5987415130381302,-1.6334187984466553,-1.5987415130381302,0.2571923136711121,7125012.620942998,-1.5250000000000052,0.25687845469720866,-1.4250000000000056,9.649660167485974
152,209,-1.6203593015670776,-1.5977676661548927,-1.632779240608215,-1.5977676661548927,0.25240957736968994,4405975.621298051,-1.5250000000000052,0.2603582694508685,-1.4250000000000056,9.722038753041096
