Unnamed: 0,snap,mean_mass,median_mass,mean_vol,median_vol,std,A,mu,sigma,alpha,z_T
1,110,-1.994953274726868,-1.9169326459152112,-2.039571046829224,-1.9169326459152112,0.4074927568435669,20590856.89533432,-1.7750000000000081,0.4461166964954459,-1.6250000000000084,6.589275893763972
7,111,-1.9227735996246336,-1.8365828180534383,-2.056798458099365,-1.8365828180534383,0.4002325534820557,23824891.80880232,-1.725000000000008,0.3311226869934432,-1.6250000000000084,6.7325613214766795
11,112,-1.80759072303772,-1.7334064599982495,-2.0726575851440434,-1.7334064599982495,0.3665840923786163,19681090.371200938,-1.6750000000000085,0.25563410649663615,-1.5250000000000088,7.553948007921896
16,113,-1.8001333475112915,-1.7241951111683682,-1.8327285051345823,-1.7241951111683682,0.3941766321659088,7005629.367009093,-1.5750000000000086,0.3832137382049789,-1.475000000000009,6.833643565855575
19,114,-1.7135893106460571,-1.625005712587023,-1.6054513454437256,-1.625005712587023,0.3188185691833496,2.6316170320380427e-06,-1.4250000000000056,9.999999998493372e-11,,
31,116,-1.1300419569015503,-1.130042119532895,-1.2260100841522217,-1.130042119532895,0.3149690628051758,,,,,
55,118,-2.202757835388184,-2.104126166764203,-2.1148364543914795,-2.104126166764203,0.5653184056282043,,,,,
69,119,-2.068408489227295,-2.0081568587808047,-2.0233612060546875,-2.0081568587808047,0.4926828145980835,,,,,
4,120,-2.0154893398284908,-1.9594326556468744,-1.9913713932037356,-1.9594326556468744,0.4455152153968811,,,,,
8,121,-2.1277952194213867,-2.075233413327125,-2.0576364994049072,-2.075233413327125,0.47451689839363104,,,,,
12,122,-2.326849937438965,-2.351763217800463,-2.263701677322388,-2.351763217800463,0.5276370048522949,2430539.8017057604,-2.875000000000004,0.21964435677787394,-2.6750000000000047,0.9026093439422482
15,123,-2.337813138961792,-2.363920912297264,-2.374965190887451,-2.363920912297264,0.5567489266395569,2086443.1801491566,-2.875000000000004,0.24145213013660657,-2.625000000000005,0.971400369605135
