,snap,redshift,time,halo_mass,SFR@10Myr,SFR@100Myr,SFR@1000Myr,velocity_mass,velocity_vol,velocity_rms_mass,velocity_rms_vol,velocity_spread,sound_mass,sound_vol,sound_rms_mass,sound_rms_vol,sound_spread,thermal_mass,thermal_vol,thermal_rms_mass,thermal_rms_vol,thermal_spread,mach_number_mass,mach_number_vol,mach_number_rms_mass,mach_number_rms_vol,mach_number_spread
1,110,3.2666666853657027,2.0088033254292292,2786897574.8125,0.0016105767888398017,0.0011694004114731133,0.001025113625789279,35.478511810302734,55.40268325805664,40.63020706176758,59.432987213134766,19.801523208618164,16.627601623535156,9.875617980957031,17.61046600341797,10.704631805419922,5.79763650894165,22.308259963989258,13.249513626098633,23.626928329467773,14.361767768859863,7.778346061706543,2.792903184890747,7.405939102172852,3.9495840072631836,9.217757225036621,2.7922275066375732
7,111,3.2384106120979173,2.028696034282983,2959411644.625,0.00808057319130706,0.002210118844561075,0.0011532789477445144,34.68210220336914,55.03578567504883,39.941036224365234,59.06080627441406,19.809675216674805,16.61233901977539,9.843123435974121,17.65895652770996,10.675484657287598,5.978642463684082,22.287792205810547,13.205904006958008,23.691951751708984,14.322657585144043,8.021188735961914,2.7679240703582764,7.40269136428833,4.0305891036987305,9.217552185058594,2.929072618484497
11,112,3.210526328416692,2.048647991511477,3048774965.75,0.01589334468450299,0.004516523020388375,0.0013984815774981622,34.94465637207031,55.22010803222656,40.29794692993164,59.2691764831543,20.06466293334961,16.6342716217041,9.810346603393555,17.928802490234375,10.647521018981934,6.662071704864502,22.31720733642578,13.161934852600098,24.054012298583984,14.28514575958252,8.93810749053955,2.8160171508789062,7.458961009979248,4.419594764709473,9.290860176086426,3.4042389392852783
16,113,3.1830065411840422,2.0686588548948763,3119459844.0,0.0077534356795223225,0.006225459029161255,0.0015761128029733627,35.643611907958984,55.40483093261719,41.13964080810547,59.44517517089844,20.529603958129883,16.709819793701172,9.781668663024902,18.37364387512207,10.647746086120605,7.583438873291016,22.418581008911133,13.123489379882812,24.650819778442383,14.285446166992188,10.174246788024902,2.905334711074829,7.509006977081299,5.190850734710693,9.355264663696289,4.29753303527832
19,114,3.1558441714246115,2.088728265093515,3178012443.75,0.006455286401567117,0.007099612768410722,0.0016895540128574035,36.120784759521484,55.44511795043945,41.67025375366211,59.46503829956055,20.76873779296875,16.841611862182617,9.752228736877441,18.725915908813477,10.668771743774414,8.135113716125488,22.595378875732422,13.08398723602295,25.123458862304688,14.313667297363281,10.914400100708008,2.871666193008423,7.547110080718994,4.604310035705566,9.40721321105957,3.596163034439087
31,116,3.1025641230420087,2.1290414089810508,3286497465.5,8.191660090809956e-05,0.005703158304338643,0.0016945847871419433,36.57154846191406,55.6293830871582,41.867618560791016,59.640785217285156,20.3795223236084,16.987462997436523,9.692292213439941,18.740217208862305,10.65735912322998,7.883453845977783,22.791122436523438,13.003565788269043,25.142623901367188,14.298348426818848,10.576767921447754,2.823817253112793,7.637020111083984,3.8401401042938232,9.52617073059082,2.6022822856903076
55,118,3.0506329366413274,2.1695847010750398,3353666604.75,0.0,0.001533992216641211,0.001705274436692502,37.368900299072266,56.26406478881836,42.35810852050781,60.283599853515625,19.943803787231445,17.03156852722168,9.630521774291992,18.555179595947266,10.58538818359375,7.34651517868042,22.850221633911133,12.92070484161377,24.894372940063477,14.201800346374512,9.85637378692627,2.862339973449707,7.774290561676025,3.8269948959350586,9.696587562561035,2.540334701538086
69,119,3.025157235973392,2.1899418259607955,3381126367.0,0.0004131428326136208,0.00045094480428347743,0.0017101204205357777,37.912601470947266,56.69367218017578,42.76898193359375,60.70697021484375,19.79403305053711,17.035627365112305,9.597070693969727,18.499305725097656,10.547144889831543,7.199246883392334,22.855667114257812,12.875808715820312,24.819433212280273,14.150473594665527,9.658801078796387,2.902791976928711,7.858683109283447,3.8846323490142822,9.799541473388672,2.58156418800354
4,120,3.0000000325073763,2.21035543311751,3392445752.25,8.023918406649863e-05,0.00026330437542294784,0.0017011385969766424,38.2990608215332,57.07183837890625,43.018287658691406,61.05043411254883,19.589330673217773,17.036088943481445,9.56675910949707,18.45867919921875,10.512051582336426,7.095154762268066,22.85633087158203,12.835164070129395,24.764909744262695,14.103382110595703,9.519157409667969,2.930161952972412,7.933884143829346,3.892146110534668,9.887767791748047,2.561906576156616
8,121,2.9745217384563256,2.2313513422925397,3395194259.875,0.0,0.0001999934394720042,0.0016991310427809348,38.49131774902344,57.35742950439453,43.05662155151367,61.28403854370117,19.29454231262207,17.030452728271484,9.532548904418945,18.422046661376953,10.475074768066406,7.015486717224121,22.848743438720703,12.789246559143066,24.715768814086914,14.053786277770996,9.412269592285156,2.9507720470428467,8.005023956298828,3.914506673812866,9.970430374145508,2.5722901821136475
12,122,2.949367533008827,2.252404674157841,3389249374.875,0.0,0.0001013241131660362,0.0016835160820745018,38.6121940612793,57.58254623413086,43.051795959472656,61.47892761230469,19.040691375732422,17.023883819580078,9.50178337097168,18.39024543762207,10.442078590393066,6.949530124664307,22.839923858642578,12.747995376586914,24.67310905456543,14.009528160095215,9.32378101348877,2.9660212993621826,8.065290451049805,3.936814546585083,10.040342330932617,2.5887370109558105
15,123,2.9245282161692012,2.2735176748599106,3379698023.5,0.0,8.533512375408301e-05,0.0016537564219567826,38.41236877441406,57.5848503112793,42.82045364379883,61.47901916503906,18.922626495361328,17.013975143432617,9.467320442199707,18.357240676879883,10.406135559082031,6.887596607208252,22.82663917541504,12.701744079589844,24.628814697265625,13.961301803588867,9.240674018859863,2.959160089492798,8.106123924255371,3.9303700923919678,10.09210205078125,2.5868101119995117
20,124,2.89999933988305,2.294688754189151,3367476521.375,0.0,2.819368477300426e-05,0.0016379149507624686,37.697052001953125,57.246192932128906,42.20772933959961,61.15660858154297,18.984556198120117,16.99599266052246,9.432738304138184,18.323932647705078,10.370969772338867,6.8439812660217285,22.802536010742188,12.655375480651855,24.58414649963379,13.91412353515625,9.182160377502441,2.9243571758270264,8.108696937561035,3.912144899368286,10.102482795715332,2.5987281799316406
24,125,2.8757767301214248,2.315916133210947,3374464819.5,0.000547996493420146,0.00010982935460260395,0.001634786437162308,36.469181060791016,56.58749008178711,41.21305847167969,60.52709197998047,19.196596145629883,16.977188110351562,9.401701927185059,18.294065475463867,10.338825225830078,6.81071662902832,22.777299880981445,12.61369514465332,24.544034957885742,13.870992660522461,9.13753890991211,2.8613626956939697,8.07016372680664,3.894890546798706,10.065999984741211,2.642491579055786
36,126,2.8518516449972147,2.3372021703755474,3387048742.625,0.000524971669419091,0.00020565116291312502,0.0016427117405978882,35.17592239379883,55.90897750854492,40.1967887878418,59.88377380371094,19.453433990478516,16.95513153076172,9.366878509521484,18.26190948486328,10.303728103637695,6.778524398803711,22.747682571411133,12.566993713378906,24.500930786132812,13.823901176452637,9.09434700012207,2.7878363132476807,8.034399032592773,3.8241043090820312,10.033473014831543,2.6176438331604004
47,127,2.8282215781508198,2.3585438436680657,3405948006.75,0.000126607482431797,0.0002516129606490321,0.0016446564641265583,34.22328186035156,55.434837341308594,39.44545364379883,59.43992614746094,19.614212036132812,16.937501907348633,9.335752487182617,18.23304557800293,10.27202033996582,6.746284008026123,22.72406005859375,12.525219917297363,24.462194442749023,13.781373023986816,9.051091194152832,2.733571767807007,8.01615047454834,3.7846839427948,10.01827621459961,2.617593288421631
60,128,2.804878261887852,2.3799434145821596,3425584363.875,0.00010300321475174437,0.00025769766863488323,0.0016375760760729754,33.64223861694336,55.18880081176758,38.96630096435547,59.21720886230469,19.661699295043945,16.91715431213379,9.300911903381348,18.196828842163086,10.237369537353516,6.700160503387451,22.69671630859375,12.478479385375977,24.413610458374023,13.734871864318848,8.989211082458496,2.704000473022461,8.028437614440918,3.765237808227539,10.037920951843262,2.620279312133789
77,129,2.781817855574211,2.40139927631071,3432654504.75,0.0,0.0002496088917673389,0.0015893177736380371,33.33873748779297,55.0902099609375,38.69123077392578,59.13444137573242,19.63550567626953,16.907821655273438,9.269841194152832,18.171995162963867,10.20624828338623,6.656639575958252,22.68422508239746,12.436789512634277,24.380271911621094,13.693124771118164,8.930819511413574,2.6894772052764893,8.051873207092285,3.7648398876190186,10.068493843078613,2.634614944458008
2,130,2.759036741508416,2.4229096544065443,3427204817.75,0.00010503176516210194,0.00013771668626765275,0.0014581417022079448,33.223690032958984,55.072452545166016,38.55278396606445,59.1239013671875,19.557954788208008,16.900554656982422,9.23880386352539,18.150259017944336,10.175287246704102,6.616117000579834,22.67445945739746,12.395147323608398,24.351163864135742,13.651589393615723,8.876452445983887,2.686089038848877,8.084038734436035,3.766775608062744,10.108451843261719,2.640836238861084
5,131,2.736527022132202,2.4444769406087614,3421793842.75,0.0,3.434896838030169e-05,0.0014149651266913545,33.238040924072266,55.115447998046875,38.513771057128906,59.16734313964844,19.45653533935547,16.87761878967285,9.203897476196289,18.117414474487305,10.140984535217285,6.584843635559082,22.64366340637207,12.348342895507812,24.30705451965332,13.605559349060059,8.834497451782227,2.695607900619507,8.12818717956543,3.7842531204223633,10.162821769714355,2.6560628414154053
13,132,2.714285300947683,2.466099399061472,3410525371.625,0.0005504332657091045,0.00021336600199786315,0.001405701225108421,33.29106140136719,55.16996383666992,38.521636962890625,59.21746826171875,19.381345748901367,16.85430335998535,9.172897338867188,18.09048080444336,10.110383987426758,6.56936502456665,22.612415313720703,12.306729316711426,24.270915985107422,13.564502716064453,8.813722610473633,2.709852933883667,8.168357849121094,3.8222033977508545,10.211837768554688,2.6955065727233887
17,133,2.6923081698803815,2.48777533798923,3406884893.75,0.00018378861416943742,0.00026698662064971016,0.0014084502923603747,33.329959869384766,55.24773025512695,38.544254302978516,59.30242156982422,19.359397888183594,16.83425521850586,9.141972541809082,18.070510864257812,10.080048561096191,6.565155982971191,22.58546257019043,12.265240669250488,24.244150161743164,13.523797035217285,8.808079719543457,2.7151286602020264,8.212199211120605,3.8257317543029785,10.2662935256958,2.6952285766601562
21,134,2.6705882029817833,2.5095071509113245,3403004905.5,0.0001847290765065893,0.00030809248300065113,0.001412897585548676,33.34483337402344,55.33230972290039,38.558799743652344,59.397552490234375,19.36275863647461,16.807939529418945,9.111249923706055,18.036651611328125,10.05018424987793,6.540187358856201,22.550230026245117,12.224017143249512,24.198699951171875,13.483733177185059,8.77458381652832,2.721583366394043,8.257223129272461,3.830077648162842,10.32266902923584,2.6949572563171387
26,135,2.6491223246215845,2.5312930560254676,3398641844.25,7.961557711969955e-05,0.00031410445338139287,0.0014149312534374296,33.342708587646484,55.38949203491211,38.55272674560547,59.460506439208984,19.3542423248291,16.7786865234375,9.076912879943848,17.994110107421875,10.017284393310547,6.499204635620117,22.5109806060791,12.177957534790039,24.14164161682129,13.439590454101562,8.719596862792969,2.7274696826934814,8.304584503173828,3.835681915283203,10.382769584655762,2.6970102787017822
38,136,2.6279073175101653,2.553131444563426,3392280203.25,0.0,0.0002091603581803892,0.0014152590120172944,33.3564453125,55.43463897705078,38.554725646972656,59.50645446777344,19.334579467773438,16.752567291259766,9.046650886535645,17.958749771118164,9.988293647766113,6.469210624694824,22.475887298583984,12.137359619140625,24.094192504882812,13.400702476501465,8.679354667663574,2.734809637069702,8.344938278198242,3.8467254638671875,10.43339729309082,2.7052931785583496
50,137,2.6069362926619153,2.5750246052120853,3389630977.25,0.0,7.757743540354223e-05,0.0014156880519614764,33.38340759277344,55.457855224609375,38.56047058105469,59.51683807373047,19.29941749572754,16.72248077392578,9.01656436920166,17.922975540161133,9.95966911315918,6.447938442230225,22.435579299926758,12.096991539001465,24.046184539794922,13.362302780151367,8.650816917419434,2.7435495853424072,8.381988525390625,3.85817551612854,10.478936195373535,2.712740421295166
63,138,2.586206317570652,2.596970865861272,3381505925.75,0.000949040278738935,0.00013878729252969637,0.0014261641361260908,33.423126220703125,55.47112274169922,38.565101623535156,59.51359176635742,19.239898681640625,16.68187713623047,8.986649513244629,17.880565643310547,9.931283950805664,6.435474872589111,22.38109588623047,12.056853294372559,23.989309310913086,13.324206352233887,8.634103775024414,2.7610719203948975,8.417718887329102,3.8933260440826416,10.5226469039917,2.744934558868408
74,139,2.5657145335237654,2.6189685036069124,3374921887.5,0.0007103339477047413,0.0003799458752895221,0.0014534797428474235,33.501705169677734,55.51142883300781,38.60377502441406,59.53766632080078,19.180646896362305,16.639841079711914,8.956835746765137,17.846426010131836,9.903081893920898,6.449204444885254,22.3247013092041,12.016876220703125,23.943513870239258,13.286389350891113,8.652511596679688,2.787092685699463,8.456701278686523,3.965378522872925,10.569884300231934,2.8205113410949707
0,140,2.5454543443096216,2.6410199188750036,3370072728.0,0.0035567885082734706,0.0009921153946390552,0.0015113606973321898,33.51201248168945,55.53961181640625,38.621055603027344,59.56077575683594,19.197416305541992,16.607702255249023,8.927173614501953,17.821434020996094,9.875076293945312,6.462052345275879,22.281564712524414,11.977056503295898,23.90995979309082,13.248810768127441,8.66974925994873,2.794851541519165,8.495251655578613,4.009220123291016,10.618139266967773,2.8741464614868164
6,141,2.5254243109758905,2.663122037934428,3371617077.25,0.0015794991454548075,0.0012276445499078874,0.001499039312182299,33.5040283203125,55.590030670166016,38.6328010559082,59.61702346801758,19.234907150268555,16.57195281982422,8.897604942321777,17.8035945892334,9.847358703613281,6.495293140411377,22.233585357666016,11.937376976013184,23.88603401184082,13.211614608764648,8.714345932006836,2.7998499870300293,8.5374116897583,3.985496759414673,10.671714782714844,2.836223602294922
10,142,2.5056181230387096,2.6852772223768664,3370790593.125,0.0008613347106574347,0.0015545914833958723,0.0015036929159037043,33.486595153808594,55.636898040771484,38.6385498046875,59.66691970825195,19.276687622070312,16.54163932800293,8.868155479431152,17.760746002197266,9.819465637207031,6.4623332023620605,22.192934036254883,11.897875785827637,23.828542709350586,13.174198150634766,8.670126914978027,2.7993195056915283,8.579147338867188,3.9876155853271484,10.724592208862305,2.8396799564361572
14,143,2.4860332157375318,2.7074838063976174,3375051643.625,0.0005487353431649954,0.0013910501727984112,0.0013839108076047406,33.48562240600586,55.696022033691406,38.640960693359375,59.72673416137695,19.283390045166016,16.517446517944336,8.83881664276123,17.721874237060547,9.791755676269531,6.419697284698486,22.16046905517578,11.85852336883545,23.776399612426758,13.13702392578125,8.612932205200195,2.7975244522094727,8.622344970703125,3.946978807449341,10.778717041015625,2.78438401222229
18,144,2.4666671499862898,2.729740002723442,3381350329.625,0.0003956532895153754,0.001128590298600705,0.0012341141730626418,33.511348724365234,55.77893829345703,38.662109375,59.815834045410156,19.28098487854004,16.49305534362793,8.809585571289062,17.67473793029785,9.764118194580078,6.35270881652832,22.127756118774414,11.819297790527344,23.713150024414062,13.099947929382324,8.523050308227539,2.803953170776367,8.669024467468262,3.9539849758148193,10.837393760681152,2.7878808975219727
23,145,2.447513845590005,2.752048311904001,3390351711.0,0.00028510603417671065,0.0007366980214514888,0.0011313684911915707,33.57371139526367,55.88174819946289,38.71501922607422,59.93096160888672,19.27861976623535,16.469249725341797,8.780441284179688,17.637310028076172,9.736635208129883,6.310164451599121,22.095827102661133,11.78018569946289,23.662931442260742,13.063063621520996,8.465977668762207,2.8138599395751953,8.718798637390137,3.9723424911499023,10.900360107421875,2.803943634033203
34,146,2.4285710500015605,2.774406935445579,3393964197.625,0.0003674542194157172,0.0004210032661083826,0.0011154170264332341,33.65160369873047,56.00307846069336,38.7811279296875,60.07185745239258,19.275775909423828,16.436033248901367,8.751405715942383,17.597640991210938,9.709100723266602,6.286280632019043,22.051259994506836,11.741231918334961,23.60971450805664,13.02613353729248,8.433927536010742,2.8280770778656006,8.77163028717041,4.001378059387207,10.96778392791748,2.8307740688323975
