Unnamed: 0,snap,mean_mass,median_mass,mean_vol,median_vol,std,A,mu,sigma,alpha,z_T
0,68,-1.236958146095276,-1.1383968519796377,-1.217818021774292,-1.1005630240512554,0.3489775359630585,1689912.8698607658,-1.1250000000000102,0.22139853264613335,-0.9750000000000107,12.73399746585074
1,69,-1.4959825277328491,-1.4903397371066391,-1.499094009399414,-1.4980675605081375,0.4634182453155518,4706905.414897048,-1.5750000000000048,0.4300242582343112,-0.9250000000000074,5.4719131342377185
2,70,-1.6689636707305908,-1.6343727143302709,-1.7243261337280271,-1.6423020454055317,0.312522292137146,22437932.445356194,-1.5750000000000086,0.3343002398533525,-1.475000000000009,6.120357229437067
3,71,-1.622200846672058,-1.5929874982289292,-1.7082724571228027,-1.6560875155625885,0.2658013105392456,34687465.46760356,-1.5250000000000052,0.2833264657755704,-1.4250000000000056,7.643183172132905
4,72,-1.5722901821136477,-1.5478267618151749,-1.607271432876587,-1.5640324004708732,0.27439817786216736,10236152.886401724,-1.4750000000000054,0.27970895268137497,-1.3750000000000058,7.306422567677786
5,73,-1.5115735530853271,-1.5000419105722995,-1.6984198093414309,-1.6455905087620817,0.2827764749526977,7948872.120741321,-1.5250000000000052,0.18685781652252587,-1.3250000000000057,5.701299221223387
6,74,-1.4594414234161377,-1.4463959775914783,-1.6943217515945437,-1.6179847785184176,0.2102462351322174,23331988.177234735,-1.4750000000000054,0.14367876612304578,-1.3750000000000058,7.252733830990227
7,75,-1.3667385578155518,-1.3540917412512443,-1.3747122287750244,-1.3494401348822087,0.15778571367263794,41979362.86792807,-1.3250000000000057,0.1375624752542037,-1.275000000000006,10.354749574218564
8,78,-1.601360321044922,-1.5984908459779614,-1.7092854976654053,-1.6809029650742398,0.2145206481218338,108013916.13817471,-1.6250000000000049,0.15173364796290545,-1.5250000000000052,6.314356063222158
9,79,-1.4642550945281982,-1.4436066791688131,-1.519032597541809,-1.5283092215564442,0.22378189861774445,92514605.1390102,-1.4250000000000056,0.23620986878656075,-1.2250000000000063,9.237702098487318
10,80,-1.5347774028778076,-1.5477992308432842,-1.4260302782058716,-1.4280065756733709,0.15167097747325894,5234891.559407623,-1.6249999999999996,0.08025347979873898,-1.5249999999999997,6.35907530212326
11,82,-1.8865725994110107,-1.8591018127822891,-1.877440333366394,-1.8437819808039049,0.29078638553619385,12345345.213078171,-1.825000000000004,0.2983547814547653,-1.6250000000000049,5.690289991340611
12,83,-1.987662434577942,-1.9619163474531247,-1.9776533842086792,-1.9553724610282617,0.3659708201885224,,,,,
13,84,-1.8009854555130005,-1.750075571461293,-1.8892534971237185,-1.8264198545452983,0.3238745927810669,24383494.086305097,-1.6750000000000085,0.33222650688582434,-1.5250000000000088,5.794250079800881
14,85,-1.6693875789642334,-1.651953650609383,-1.7753491401672363,-1.7253849907146022,0.23397541046142575,74274216.6167203,-1.6250000000000084,0.21345513821557202,-1.475000000000009,8.210389999520519
15,86,-2.4135305881500244,-2.4214974817682484,-2.4444539546966557,-2.461964147680728,0.3082150518894196,70004678.16594774,-2.3750000000000058,0.33656082168449386,-2.275000000000006,3.559409147444431
16,87,-1.6170471906661987,-1.6006195012603546,-1.8289135694503784,-1.8630379257780127,0.3528994917869568,,,,,
17,91,-1.5399641990661619,-1.5554380389572475,-1.5303252935409546,-1.54145896509035,0.1376030594110489,281616.04678293783,-1.5749999999999995,0.10515006137258963,-1.4249999999999994,14.882475837584025
18,92,-1.5818853378295898,-1.5938375019328357,-1.5853185653686523,-1.5952399827535222,0.22642189264297485,5156408.961199837,-1.5250000000000052,0.26840606309954423,-1.4750000000000054,5.0759176549711915
19,93,-1.432913303375244,-1.4519795922970444,-1.481944561004639,-1.5038610731586617,0.2933423817157745,16675600.068055602,-1.4250000000000056,0.2995957686123231,-1.4250000000000056,3.340838881819924
20,94,-1.7181466817855835,-1.5431599496029995,-1.6006677150726318,-1.521384920026308,0.5930026173591614,31715851.657886963,-1.4250000000000091,0.2702830738985171,-1.4250000000000091,3.3467152107611415
21,95,-1.8914033174514768,-1.7662125655739789,-1.9027237892150881,-1.738762647504169,0.5437301993370056,,,,,
22,96,-1.867583990097046,-1.8597250930544411,-1.7932063341140747,-1.7963704964314808,0.4373595714569092,84385572.33738573,-2.025000000000007,0.3341980671856242,-1.725000000000008,2.374313290079246
23,97,-1.5971274375915527,-1.5897166852914997,-1.6285953521728516,-1.5946424480391899,0.27026891708374023,236668038.2948027,-1.5750000000000048,0.28377851624155076,-1.3250000000000057,6.4349717752537945
24,98,-1.562397003173828,-1.5787005964936929,-1.4867892265319824,-1.4849693972363158,0.2368241101503372,70299988.3762324,-1.6250000000000049,0.1982527660126037,-1.4750000000000054,4.8710984794419305
25,99,-1.5779342651367188,-1.6173371249364292,-1.5613887310028076,-1.5977002508658995,0.2363258302211761,3434652.2451541736,-1.6250000000000049,0.16402050681217742,-1.5250000000000052,6.393441288286744
26,100,-1.3160380125045776,-1.2976878029959542,-1.5316975116729736,-1.5218142044490282,0.2524859607219696,604795739.3295046,-1.275000000000006,0.23978423792840933,-0.9750000000000072,10.386498608520663
27,101,-1.2500826120376587,-1.2306663136900835,-1.4453371763229368,-1.443953349387911,0.2473296821117401,228541767.08021584,-1.2250000000000063,0.2492804952556389,-1.0250000000000072,7.986723904825578
28,102,-1.3830751180648804,-1.393983906527358,-1.412906289100647,-1.443416537368229,0.2319301962852478,18742923.220556367,-1.4750000000000054,0.1597307206341926,-1.3250000000000057,4.4938718036401735
29,103,-1.4841711521148682,-1.4841711521148682,-1.4841711521148682,-1.4841711521148682,0.0,3.567118778281918e-05,-1.4749999999999996,9.999999998493372e-11,,
30,104,-1.4566596746444702,-1.4522137360271756,-1.4429327249526978,-1.4226071256733497,0.2238537818193436,538406770.7903779,-1.4250000000000056,0.25606766680065296,-1.1750000000000065,10.017902360015253
31,105,-1.4098678827285769,-1.4110428592112112,-1.4113383293151855,-1.4027209064119197,0.21069778501987454,497339470.05427504,-1.3750000000000058,0.2353727460815623,-1.2250000000000063,7.1426904296342695
32,106,-1.3563421964645386,-1.3544425331462513,-1.3733336925506592,-1.3717243896549332,0.19460928440093994,486881632.8532383,-1.3250000000000057,0.21089872866929787,-1.1750000000000065,8.561953119315062
33,107,-1.378698468208313,-1.375920042032918,-1.36516535282135,-1.3516229891406442,0.18595959246158603,242911379.55609033,-1.3750000000000058,0.1643154708119986,-1.1250000000000069,11.940275673547253
34,108,-1.3857481479644775,-1.360043657212834,-1.3519136905670166,-1.3289034207107162,0.21106524765491488,387408028.2501597,-1.3250000000000057,0.21556346238006496,-1.1750000000000065,10.455496618784245
35,109,-1.4167605638504028,-1.3858646241838048,-1.3781030178070068,-1.3335441660987957,0.2121618092060089,535312307.86789817,-1.3250000000000057,0.26157711304769854,-1.1750000000000065,12.130809221889457
36,110,-1.387945532798767,-1.348398387645735,-1.3693788051605225,-1.327847011030499,0.2237393260002136,556629692.9288852,-1.275000000000006,0.2750958642230932,-1.1750000000000065,10.507566277611899
37,111,-1.3687478303909302,-1.3644186107778713,-1.3206671476364136,-1.2987212346294734,0.19750744104385376,383643749.7598561,-1.3750000000000058,0.18682567709004574,-1.2250000000000063,7.729131353726923
38,112,-1.3651612997055054,-1.3442257998864862,-1.3499619960784912,-1.2963154079282986,0.2156522423028946,379862933.8263281,-1.275000000000006,0.25196154645672797,-1.1750000000000065,8.484392738745848
39,113,-1.3214290142059326,-1.3224624794954694,-1.3670995235443115,-1.3541712561782164,0.2329905927181244,547312615.4880389,-1.3750000000000058,0.20531281980637844,-1.2250000000000063,4.382796915831223
40,114,-1.3083839416503906,-1.2674191304495637,-1.2148361206054688,-1.178220601466052,0.2232490181922913,295359911.11309516,-1.1750000000000065,0.33412038056750865,-1.1250000000000069,9.682993253758815
41,115,-1.230020523071289,-1.187960819113408,-1.2397050857543943,-1.1814735666217209,0.19169604778289795,448963450.1089826,-1.1750000000000065,0.1252538528983091,-1.1250000000000069,10.87217912096555
42,116,-1.2809995412826538,-1.2231574144560038,-1.2323904037475586,-1.1874588926633198,0.2245010882616043,1182496365.4804502,-1.1250000000000069,0.2790292166191409,-1.1250000000000069,9.759899622349234
43,117,-1.3297377824783323,-1.3058447894595921,-1.3044005632400513,-1.2793420636902724,0.21745653450489044,2490768485.0172276,-1.2250000000000063,0.29730173627200435,-1.0750000000000068,13.164401231015308
44,118,-1.2570068836212158,-1.2431447777831763,-1.3851019144058228,-1.3475149018423898,0.20995639264583588,3090555520.3296638,-1.1250000000000069,0.30372089710358346,-1.0750000000000068,9.042895067009582
45,119,-1.1049171686172483,-1.1069657113178666,-1.1869516372680664,-1.155451598546363,0.19640839099884036,1277892471.0570772,-1.1250000000000069,0.1467293030088323,-0.9750000000000072,7.989785883664009
46,120,-1.0227499008178709,-1.0177103753057903,-1.0376818180084229,-1.014148781148588,0.20276284217834475,771164199.4143453,-1.0250000000000072,0.18685893688966318,-0.9250000000000074,6.397775627974629
47,121,-0.984502911567688,-0.986338030617192,-0.9431564211845398,-0.9503143819651211,0.22308969497680664,285764700.0643957,-1.0749999999999993,0.14467267334941963,-0.9249999999999989,4.408031450589364
48,122,-0.6925064921379089,-0.7023933886630219,-0.4652394652366638,-0.3995727658968009,0.11032553762197496,6077965.068731285,-0.7249999999999998,0.08990791867137965,-0.6249999999999997,11.171552964553108
49,123,-1.2160110473632812,-1.2390284246724317,-1.1571307182312012,-1.1809916008209245,0.13666582107543945,6750971.815518987,-1.2749999999999997,0.0703130583669567,-1.2249999999999992,8.430125560367173
50,124,-0.9194102883338928,-0.9285072956274062,-0.8695901036262512,-0.8669848200272064,0.1567317396402359,26831428.47983908,-0.9249999999999989,0.14959593653404774,-0.6749999999999988,16.688627050735843
51,125,-1.0624021291732788,-1.0767846563317256,-1.0486479997634888,-1.0321116950710305,0.15655341744422913,0.00043124932712379775,-1.0749999999999993,9.999999998493372e-11,-1.024999999999999,5.530442979132614
52,126,-0.7025147080421448,-0.662470072292177,-0.7356117367744446,-0.6687832406894239,0.18527746200561526,874605.9620782506,-0.6249999999999988,0.07959894900551175,-0.5249999999999987,5.5339272565641675
53,127,-1.0129705667495728,-1.0499321216532644,-1.0013549327850342,-1.0385712418042257,0.25265276432037354,1472550.9534381449,-1.1749999999999994,0.11422975831502294,-0.9249999999999989,4.01010169194538
54,128,-0.9334542751312256,-0.9561404186858059,-0.9611200094223022,-0.9761642287476092,0.29618993401527405,19848776.43384599,-1.024999999999999,0.23180505961408135,-0.7249999999999989,4.705202519328598
55,129,-0.9275408387184144,-0.9464061941680604,-0.979930818080902,-1.0158956714298415,0.3072141408920288,69454950.16253048,-0.9749999999999992,0.28090356693607543,-0.5749999999999987,5.472070823910511
56,130,-0.8616808652877808,-0.8947283827055664,-0.919850766658783,-0.9654058850356164,0.28260359168052673,56130890.536167026,-1.024999999999999,0.15306140381344896,-0.9249999999999989,2.7024335693280572
57,131,-0.8414221405982971,-0.8961513802080124,-0.8664457201957703,-0.9257055092242964,0.2579871714115143,82078447.40318803,-1.024999999999999,0.10875223742545911,-0.9249999999999989,3.0339934485500275
58,132,-0.8792349100112915,-0.9378139832440544,-0.91360741853714,-0.9589456295120644,0.2389156371355057,118050866.52053058,-1.024999999999999,0.08765313803658473,-0.9749999999999992,3.868313352707739
59,133,-0.8821574449539185,-0.934636309759142,-0.9107429981231691,-0.9499103392786556,0.2154524177312851,185592154.4845761,-0.9749999999999992,0.0950116046777158,-0.9249999999999989,4.855452938369819
60,134,-0.8837170004844666,-0.9216084886720852,-0.8846027851104736,-0.9209049183708288,0.20113295316696167,245304101.7674244,-0.9749999999999992,0.10341094286046583,-0.874999999999999,4.993855917925034
61,135,-0.920673131942749,-0.9573801037029176,-0.8894723057746887,-0.9228440737790348,0.1946180760860443,438214302.0674207,-0.9750000000000072,0.09537117013577155,-0.9750000000000072,6.089498636328442
62,136,-0.9369977712631226,-0.9552434557626228,-0.9553582072257996,-0.9671471306425056,0.1593010574579239,774300592.7375879,-0.9750000000000072,0.07161115977409352,-0.9250000000000074,7.863964683806087
63,137,-0.9139370918273926,-0.9215154183838896,-0.9654247164726256,-0.9644296765327454,0.13644737005233765,1306284838.0584764,-0.9250000000000074,0.08591157294421407,-0.8750000000000075,9.321747671460628
64,138,-0.8539856076240541,-0.8501955311873863,-0.9137818217277528,-0.9172328883995776,0.15871062874794006,1559291269.7929356,-0.824999999999999,0.15410759746574143,-0.7249999999999989,10.18500947219535
65,139,-0.7610260248184204,-0.7633033433609461,-0.7782403230667114,-0.7893786867928679,0.14931054413318634,665526672.7760311,-0.7749999999999989,0.13424072276386356,-0.5749999999999987,11.888511485658825
66,140,-0.7632217407226562,-0.7689440807400832,-0.7910987138748169,-0.8114833526889537,0.1144799292087555,138967707.01655978,-0.7749999999999989,0.08349996476237556,-0.6749999999999988,15.796358165650147
67,141,-0.7799445986747742,-0.7750355628541279,-0.7629497051239014,-0.7759861888001658,0.11838792264461515,156166896.48976517,-0.7249999999999989,0.14746539669765668,-0.6749999999999988,15.953469775869028
68,142,-0.7818821668624878,-0.7826507333268051,-0.7586981654167175,-0.7605272672393105,0.12443118542432785,111485304.39402524,-0.7749999999999989,0.11662755902186017,-0.6249999999999988,20.309770633685442
69,143,-0.773742139339447,-0.7716426591751939,-0.7223119139671326,-0.7256040015439877,0.14576947689056394,101835185.89232935,-0.7749999999999989,0.13029521664749383,-0.6249999999999988,15.221190098489945
70,144,-0.7822052836418152,-0.7600793473433342,-0.7532124519348145,-0.7364508812020465,0.1826661080121994,208182213.4472238,-0.7249999999999989,0.17497427563331225,-0.6249999999999988,14.222696232636194
71,145,-0.8023703098297119,-0.7581895491308417,-0.7330176830291748,-0.7194883789670129,0.215302050113678,297986540.5488354,-0.7249999999999989,0.21961192838033658,-0.7249999999999989,8.253314755797728
72,146,-0.7392559647560121,-0.7269752116082671,-0.720912754535675,-0.7128890602497744,0.17993247509002686,286988577.6701525,-0.7249999999999989,0.117853166353695,-0.6749999999999988,12.521030163396594
