Unnamed: 0,snap,mean_mass,median_mass,mean_vol,median_vol,std,A,mu,sigma,alpha,z_T
0,68,-2.162466764450073,-2.1867450630060703,-2.1373839378356934,-2.1630795656768136,0.3611066937446594,,,,,
1,69,-2.1520030498504643,-2.1259746087790745,-2.1487679481506348,-2.1274681610485184,0.3875268399715424,,,,,
2,70,-2.0335831642150883,-1.9985502193503517,-2.0107414722442627,-1.894854096844688,0.311887264251709,,,,,
3,71,-1.9745453596115112,-1.928632035021291,-2.010431289672852,-1.932155230534044,0.26130324602127075,,,,,
4,72,-1.927764058113098,-1.8438460763524818,-1.96295428276062,-1.8456812451192932,0.30704453587532043,10683217.34039398,-1.7750000000000081,0.34172227331909694,-1.7750000000000081,6.062137683544903
5,73,-1.9077193737030032,-1.836261074924976,-1.9926697015762331,-1.9069043991728711,0.2623068988323212,14632290.283013193,-1.7250000000000043,0.2982224112652328,-1.7250000000000043,11.005180194649904
6,74,-1.83367133140564,-1.791789996500001,-1.9992855787277224,-1.8823956207486887,0.2288127839565277,37294334.081729084,-1.725000000000008,0.21453723138581227,-1.725000000000008,7.972340764691239
7,75,-1.69845712184906,-1.6754164300855487,-1.6754462718963623,-1.64176000751951,0.1663619577884674,33395817.952075053,-1.6750000000000047,0.1255235489624785,-1.5750000000000048,13.342344483355461
8,78,-1.8371269702911377,-1.8275960317024815,-1.9092960357666016,-1.8807899054838542,0.17831259965896604,166616119.04355392,-1.7750000000000044,0.17839422942813535,-1.7250000000000043,9.868513269484563
9,79,-1.6593835353851318,-1.6384137867140944,-1.7105777263641355,-1.7030925107597903,0.19117237627506256,110490571.34717752,-1.5750000000000048,0.20818570856487473,-1.4750000000000054,11.786150337289811
10,80,-1.6234898567199707,-1.6337760600969322,-1.4903043508529663,-1.4974779140100236,0.14299272000789642,7321840.3657118445,-1.6750000000000047,0.10846768596242079,-1.5750000000000048,7.814226062621586
11,82,-2.005352258682251,-1.9657398507889117,-2.0059502124786377,-1.962599601186248,0.2915303111076355,14651866.332172137,-1.8750000000000075,0.35440135281075774,-1.7750000000000081,5.97705828551782
12,83,-2.1839170455932617,-2.1519717760680237,-2.1609640121459956,-2.119120192632669,0.3867111206054688,,,,,
13,84,-2.0175178050994877,-1.9451402668926618,-2.0954151153564453,-2.0118838259456147,0.34048083424568176,26885174.7808344,-1.825000000000008,0.3681264139725019,-1.825000000000008,5.588728186344516
14,85,-1.9175105094909668,-1.8768884207768304,-2.0231363773345947,-1.941763878966672,0.24557824432849884,81700467.61703886,-1.825000000000008,0.2350044929494526,-1.6750000000000085,11.296778606658576
15,86,-2.551588773727417,-2.5545470270017785,-2.5841588973999023,-2.5739747051242228,0.3212197422981262,,,,,
16,87,-1.7880405187606812,-1.7577483941625047,-1.965152382850647,-1.9803021229760496,0.30517321825027466,,,,,
17,91,-1.8101003170013428,-1.7919518531892429,-1.8097515106201167,-1.7909098934604453,0.15256844460964206,391892.82674098626,-1.7750000000000044,0.168465639329496,-1.7750000000000044,8.433653027928914
18,92,-1.879703521728516,-1.9029636659140572,-1.875507354736328,-1.8913036520359108,0.21479016542434687,2956432.3420299296,-1.975000000000004,0.14754519408164016,-1.7750000000000044,5.5284157175805
19,93,-1.7769670486450195,-1.7722321320863688,-1.8091783523559568,-1.8350268874884312,0.24251483380794525,23323590.736144807,-1.6250000000000049,0.3483679625646891,-1.5750000000000048,9.93969701948467
20,94,-2.0146732330322266,-1.839445960159412,-1.9079625606536863,-1.8347659286274085,0.5420540571212769,49761228.652657926,-1.625000000000012,0.3879655721388295,-1.625000000000012,6.730026704781338
21,95,-2.099245309829712,-1.971925579811916,-2.1256759166717534,-1.9638831615448,0.551688551902771,136985279.99999997,-1.6750000000000118,0.6115672284618199,-1.6750000000000118,5.321820632550453
22,96,-2.1444098949432373,-2.1617248081170715,-2.087237596511841,-2.122248378999394,0.4299079179763794,83229250.61554293,-2.325000000000009,0.30124456544491224,-1.875000000000011,3.042333384579798
23,97,-1.8278658390045168,-1.8108902645782683,-1.8510663509368896,-1.814766476993092,0.2616678774356842,251000760.05948606,-1.7750000000000081,0.2809593892346867,-1.5250000000000088,10.655137831437813
24,98,-1.782532811164856,-1.7884686814141029,-1.729164719581604,-1.714995223109912,0.2340342849493027,86770963.49386218,-1.7750000000000044,0.23358741208408107,-1.4750000000000054,11.711611290193215
25,99,-1.779178261756897,-1.8130256769000863,-1.763644814491272,-1.8013767235560882,0.2463730126619339,3481090.2213530215,-1.825000000000004,0.15824474935789637,-1.6750000000000047,6.27003848315521
26,100,-1.5021625757217407,-1.4656122164292769,-1.7235287427902222,-1.6910859909322526,0.2396065592765808,774259167.3776027,-1.375000000000009,0.247682591597069,-1.2750000000000097,11.335848449852817
27,101,-1.4162329435348509,-1.3883890865393982,-1.6104469299316406,-1.5950154617191543,0.2276833951473236,281169121.86907715,-1.3250000000000057,0.24069639272045865,-1.2250000000000063,9.845458319833341
28,102,-1.4472936391830444,-1.447912602869581,-1.499077081680298,-1.4980846926432712,0.21221907436847687,22648071.425524443,-1.4750000000000054,0.1550925564065388,-1.3250000000000057,6.256528241173216
29,103,-1.4878263473510742,-1.4878263473510742,-1.4878263473510742,-1.4878263473510742,0.0,3.567118778281918e-05,-1.4749999999999996,9.999999998493372e-11,,
30,104,-1.6279722452163696,-1.6241045420621418,-1.626452922821045,-1.601084099129731,0.2295629233121872,485946209.2738411,-1.6250000000000049,0.23489743753521974,-1.4250000000000056,7.604447214508544
31,105,-1.5736782550811768,-1.5688837013975547,-1.5780121088027954,-1.5697371770288342,0.20547020435333246,515744883.83018965,-1.5250000000000052,0.23069012102790648,-1.4250000000000056,7.417552193524999
32,106,-1.5197023153305054,-1.5220206763140711,-1.5408703088760376,-1.544623898905377,0.19535453617572784,328479512.0691647,-1.5750000000000048,0.1528553908497454,-1.4250000000000056,6.045060355388385
33,107,-1.5549744367599487,-1.5532783095614384,-1.5452520847320557,-1.538316407971595,0.184807687997818,277588600.4681994,-1.5250000000000052,0.16360015101483572,-1.4750000000000054,7.3811055705324815
34,108,-1.5668556690216064,-1.5448480026256404,-1.546377658843994,-1.5255063668308446,0.2048574835062027,360223411.4959491,-1.5250000000000052,0.1829651352229048,-1.3750000000000058,9.749804413874937
35,109,-1.594631552696228,-1.568495030062539,-1.5689911842346191,-1.5354305559376118,0.20329095423221588,508105005.93431044,-1.5250000000000052,0.2260377810999064,-1.4250000000000056,9.864053580813142
36,110,-1.5661921501159668,-1.5352303199870612,-1.5677628517150881,-1.537196761593282,0.21070490777492526,532348181.3120463,-1.4750000000000054,0.24589291582675918,-1.3750000000000058,10.704980395096975
37,111,-1.5445765256881714,-1.5440718841879335,-1.5273230075836182,-1.5116744502223542,0.19127042591571808,434268724.2627272,-1.5250000000000052,0.18124059247664343,-1.4250000000000056,7.341965641389848
38,112,-1.5205956697463991,-1.4960504193070867,-1.5149815082550049,-1.4697052595731317,0.2082669585943222,317669334.71414346,-1.4750000000000054,0.20860335782275,-1.275000000000006,13.655892898537143
39,113,-1.491458535194397,-1.4831391855202678,-1.535677194595337,-1.5119657348143607,0.20236173272132876,680414220.0649314,-1.4750000000000054,0.2075288721626612,-1.1750000000000065,13.464933226720778
40,114,-1.470062017440796,-1.4388164567275783,-1.4094759225845337,-1.3913567644604563,0.18645869195461276,282507186.6286286,-1.3750000000000058,0.24401947134110757,-1.3250000000000057,12.127626554901918
