,abundance,fit_val
0,-2.975,147143.7917768324
1,-2.9250000000000003,279293.99259261414
2,-2.8750000000000004,516971.67601615813
3,-2.8250000000000006,933162.7803731638
4,-2.7750000000000012,1642606.6292936518
5,-2.725000000000001,2819650.2255514394
6,-2.6750000000000007,4720004.454210795
7,-2.6250000000000013,7705043.286506313
8,-2.575000000000001,12265726.065268992
9,-2.5250000000000017,19041315.253229223
10,-2.475000000000002,28826115.966267105
11,-2.425000000000002,42556001.87771111
12,-2.375000000000002,61266209.71704594
13,-2.3250000000000024,86013517.99201508
14,-2.2750000000000026,117760031.30079702
15,-2.2250000000000028,157222471.08856428
16,-2.1750000000000034,204699521.36018735
17,-2.125000000000003,259898959.2251773
18,-2.0750000000000037,321793863.0723347
19,-2.0250000000000035,388540664.2856783
20,-1.975000000000004,457489049.4443851
21,-1.925000000000004,525303666.2057579
22,-1.8750000000000042,588200872.5426666
23,-1.825000000000004,642282960.987323
24,-1.7750000000000044,683931554.4181894
25,-1.7250000000000043,710206079.0381525
26,-1.6750000000000047,719186676.9192742
27,-1.6250000000000049,710206079.0381525
28,-1.5750000000000048,611188241.0261459
29,-1.5250000000000052,399066604.18625194
30,-1.4750000000000054,260564820.928768
31,-1.4250000000000056,170132066.15994728
32,-1.3750000000000058,111085294.75575492
33,-1.3250000000000057,72531551.45586546
34,-1.275000000000006,47358437.20955087
35,-1.2250000000000063,30922012.971082047
36,-1.1750000000000065,20190085.284126133
37,-1.1250000000000069,13182826.880045224
38,-1.0750000000000068,8607537.912971426
39,-1.0250000000000072,5620168.541801152
40,-0.9750000000000072,3669608.517280082
41,-0.9250000000000074,2396018.2990844892
42,-0.8750000000000075,1564445.8155451664
43,-0.8250000000000077,1021482.4781229591
44,-0.7750000000000079,666962.347141832
45,-0.7250000000000081,435483.50758043537
46,-0.6750000000000083,284342.71617769456
47,-0.6250000000000084,185657.50214633715
48,-0.5750000000000086,121222.40571717886
49,-0.5250000000000088,79150.4328022128
50,-0.475000000000009,51680.14094188027
51,-0.4250000000000092,33743.80749688005
52,-0.3750000000000093,22032.535585903785
53,-0.3250000000000095,14385.828403893036
54,-0.2750000000000097,9393.020520010508
55,-0.22500000000000986,6133.038154790044
56,-0.17500000000001004,4004.47938210918
57,-0.1250000000000102,2614.667431868677
58,-0.07500000000001039,1707.2096337461826
