Unnamed: 0,snap,mean_mass,median_mass,mean_vol,median_vol,std,A,mu,sigma,alpha,z_T
0,68,-1.4204847812652588,-1.3030913195397988,-1.4028588533401491,-1.2728168359629806,0.3909630179405213,1690201.8773077303,-1.2750000000000097,0.21063448137059354,-1.17500000000001,9.311078941978419
1,69,-1.746765375137329,-1.7716068270222085,-1.7474572658538818,-1.7790971394203468,0.5321905016899109,4065002.317579902,-1.9250000000000076,0.4241296570549625,-1.9250000000000076,1.3640134523062486
2,70,-1.9808285236358645,-1.9555293877659372,-2.078433990478516,-2.0163962491913123,0.3546962738037109,23150073.277860053,-1.8750000000000075,0.361046694760672,-1.725000000000008,4.208708988514717
3,71,-1.933462142944336,-1.9235379549870095,-2.0575916767120357,-2.0405463033334734,0.3056858479976654,26601666.336934254,-1.9250000000000076,0.2580428878687853,-1.6250000000000084,6.6600382418890405
4,72,-1.889214873313904,-1.8786659801135888,-1.92492151260376,-1.8943981557852323,0.31227341294288635,9650540.014586443,-1.825000000000008,0.300758944063573,-1.725000000000008,4.708677512802911
5,73,-1.8084251880645752,-1.8115234938172071,-2.0499167442321777,-2.0044059828923886,0.33533915877342224,8997141.152282026,-1.825000000000008,0.2427517722247123,-1.5250000000000088,5.004155323745681
6,74,-1.755271315574646,-1.7531378450333102,-2.0371811389923096,-1.9861644305334845,0.2393072545528412,31938989.688219655,-1.725000000000008,0.20052453348230528,-1.6750000000000085,5.497227154912953
7,75,-1.6764130592346191,-1.6691354730100318,-1.7031344175338743,-1.6754134450234832,0.18378892540931704,33096488.89317623,-1.6750000000000047,0.12941973604892412,-1.5750000000000048,8.247849214165251
8,78,-1.9768545627593996,-1.9840690041330535,-2.1139321327209477,-2.1005552646725683,0.2689169645309448,130889541.05249925,-1.9750000000000072,0.22008164427496682,-1.8750000000000075,4.589580418482168
9,79,-1.8699661493301392,-1.854547946173064,-1.9308021068573,-1.9496894759114909,0.2677656412124634,82309773.11009797,-1.8750000000000042,0.2746874414798584,-1.5750000000000048,7.347120523082791
10,80,-2.0568199157714844,-2.0917779185356347,-2.0088844299316406,-2.025313215689906,0.18793608248233795,4505457.068434251,-2.1750000000000034,0.06792700637125955,-2.125000000000003,4.59151007281169
11,82,-2.2461116313934326,-2.206060705167199,-2.2447433471679688,-2.189580433188397,0.32502883672714233,13729951.68820884,-2.1250000000000067,0.40153660971350846,-1.8750000000000075,5.3167403237840976
12,83,-2.3698983192443848,-2.3524938286980785,-2.3745136260986333,-2.363589258242781,0.3914280831813812,,,,,
13,84,-2.178674936294556,-2.1454841350903124,-2.272326707839966,-2.2198321820488345,0.3448159694671631,24051441.06603871,-2.075000000000007,0.3473625734542397,-2.075000000000007,3.7721421458413076
14,85,-2.025654554367065,-2.030172799881098,-2.1266520023345947,-2.094825591720353,0.2604992091655731,55882612.435942516,-2.075000000000007,0.19546496897479151,-1.9250000000000076,4.642228776726347
15,86,-2.8622398376464844,-2.889932205253812,-2.892289161682129,-2.9253774362220395,0.32134512066841125,45166209.67057471,-2.975000000000004,0.21910170607510313,-2.825000000000004,3.11344437881666
16,87,-2.055978775024414,-2.0579563955569973,-2.295861005783081,-2.339070053154744,0.4030891954898834,,,,,
17,91,-1.7985435724258425,-1.8006365998185967,-1.7868551015853882,-1.7827094668994403,0.1530923843383789,0.000355792220980596,-1.825000000000004,9.999999998493372e-11,-1.7750000000000044,8.169532270459028
18,92,-1.912322163581848,-1.9279847119965996,-1.922154784202576,-1.939754370811038,0.27443012595176697,2450737.2540630368,-2.0750000000000037,0.18694757947579457,-1.8750000000000042,3.058070052972283
19,93,-1.7593623399734497,-1.7857362468131412,-1.824898362159729,-1.8360933627914984,0.3548237979412079,13826918.624141332,-1.825000000000008,0.3196966801760717,-1.17500000000001,6.270204461971253
20,94,-2.067023754119873,-1.939713922187528,-1.9578770399093628,-1.8983552993898252,0.631963849067688,,,,,
21,95,-2.2909629344940186,-2.176827711075489,-2.295090913772583,-2.1515775367345147,0.5544365048408508,,,,,
22,96,-2.225490093231201,-2.199487570059953,-2.1452035903930664,-2.126982921807694,0.4732035100460053,131929599.99999999,-2.12500000000001,0.46552620426753033,-1.875000000000011,3.472352818195062
23,97,-1.97485876083374,-1.9861194909458428,-2.0204117298126216,-2.0083209731443032,0.3017430305480957,198365856.53718707,-2.025000000000007,0.2597448725168942,-1.7750000000000081,4.337463536937668
24,98,-1.9443514347076416,-1.9730932846331968,-1.8637447357177732,-1.8847740863461853,0.26094427704811096,82830854.81040095,-1.975000000000004,0.22927348933895908,-1.8750000000000042,4.094818261195406
25,99,-1.9771996736526491,-2.024961964327189,-1.963163137435913,-2.0052905991850563,0.25346753001213074,0.0018817802394278896,-2.1750000000000034,9.999999998493372e-11,-2.125000000000003,2.918781300763747
26,100,-1.72633957862854,-1.7246520254999549,-1.9357229471206665,-1.9417505410393108,0.2720397412776947,381383136.96940875,-1.825000000000008,0.18394043724135686,-1.6250000000000084,3.810580423119264
27,101,-1.682764768600464,-1.6746023574474331,-1.8734488487243648,-1.8762920198163813,0.27138611674308777,193649322.12428167,-1.725000000000008,0.2445133849513571,-1.475000000000009,5.226340567786877
28,102,-1.8853180408477783,-1.9087976143889036,-1.8861688375473025,-1.933930010567668,0.2499167025089264,26178402.054384522,-1.925000000000004,0.21302370821704067,-1.5250000000000052,5.469411671301548
29,103,-1.9335016012191768,-1.9335016012191768,-1.9335016012191768,-1.9335016012191768,0.0,3.567118778281918e-05,-1.925,9.999999998493372e-11,,
30,104,-1.8819546699523928,-1.8837204114628223,-1.8573530912399288,-1.844776272773743,0.2350630462169647,508253163.1019615,-1.8750000000000042,0.25185182814189905,-1.5750000000000048,7.91285186648331
31,105,-1.8369100093841555,-1.8435644011427883,-1.8369839191436768,-1.8285313787574542,0.22833386063575745,468659467.3959063,-1.825000000000004,0.24034062050776966,-1.6750000000000047,5.4584349287256115
32,106,-1.781632661819458,-1.786033475182273,-1.7914587259292605,-1.7923017660776774,0.2058260589838028,365856519.6983538,-1.825000000000004,0.17636311215853823,-1.6750000000000047,5.725873482876937
33,107,-1.7822830677032468,-1.7797550295468731,-1.7647706270217896,-1.7488265456885568,0.1980932652950287,199919328.76781827,-1.825000000000004,0.15914484217353056,-1.6750000000000047,6.589171926475415
34,108,-1.7882709503173828,-1.765225972422847,-1.7388414144515991,-1.7160861118361488,0.22738973796367645,398970808.4987872,-1.7250000000000043,0.2482517216420283,-1.5750000000000048,8.27929891022374
35,109,-1.8248946666717532,-1.7992587379046852,-1.7755879163742063,-1.7358071518680764,0.2307840883731842,546630011.4091482,-1.7250000000000043,0.29523096108850566,-1.5750000000000048,9.614292878005019
36,110,-1.7983529567718506,-1.7630730886510348,-1.7614647150039673,-1.7267645032197194,0.2451132982969284,568580396.5680155,-1.6750000000000047,0.31539900178636915,-1.5750000000000048,8.525533355287656
37,111,-1.7804702520370483,-1.7765832670299524,-1.7101337909698486,-1.6943920659277725,0.2148544192314148,407011140.8541988,-1.7750000000000044,0.2142702768101031,-1.5750000000000048,8.472172542535976
38,112,-1.7987231016159058,-1.7834769721569066,-1.7731686830520632,-1.7249511795330652,0.23167672753334045,311110910.04088104,-1.7750000000000044,0.2417925422688351,-1.6250000000000049,6.858025368953669
39,113,-1.7440124750137331,-1.7511357267697651,-1.789275288581848,-1.789754052785916,0.2686260342597961,629541616.0455803,-1.7750000000000081,0.2631258178487183,-1.4250000000000091,6.250437402389242
40,114,-1.7365837097167969,-1.7124760756383672,-1.6147724390029907,-1.5664259746186568,0.2646063566207886,,,,,
41,115,-1.6288118362426758,-1.5838696244475132,-1.6312254667282104,-1.5737779196515955,0.2212795913219452,580636897.6263686,-1.5250000000000052,0.1856790744678466,-1.4250000000000056,11.573877115951595
42,116,-1.696320414543152,-1.6326162387584815,-1.6312854290008545,-1.5822316450389302,0.2565527856349945,1172933003.6263459,-1.5250000000000052,0.3516839485596135,-1.4750000000000054,10.187167188576536
43,117,-1.7657519578933716,-1.7570173059191023,-1.7335681915283203,-1.7146775542674564,0.2393972724676132,2693476758.2821403,-1.6250000000000049,0.3629012044573753,-1.4750000000000054,10.295473886302984
44,118,-1.6825958490371704,-1.6689941422981132,-1.8184654712677,-1.7907372883387975,0.2293361872434616,3158073062.8524947,-1.5250000000000088,0.34919516663735883,-1.475000000000009,8.110611494445491
45,119,-1.5318918228149414,-1.5318852168757742,-1.6128129959106443,-1.5815790543953578,0.20919160544872284,1481309754.8390968,-1.5250000000000088,0.18379528713681356,-1.4250000000000091,6.3928454534998025
46,120,-1.4757858514785769,-1.4734572156055554,-1.4882192611694336,-1.4668918014627643,0.22725269198417666,802390204.7660178,-1.4750000000000054,0.2210197429229337,-1.0250000000000072,11.766896386283491
47,121,-1.459359645843506,-1.4536002710262177,-1.4240642786026,-1.4227652545762268,0.21294160187244413,504030942.77821803,-1.4250000000000056,0.22634432359075046,-1.2250000000000063,8.644066933530521
48,122,-1.2650429010391235,-1.2730380728695991,-1.0640876293182373,-0.999939457885907,0.11903668940067293,7403247.3321288265,-1.2749999999999997,0.12012321773622874,-1.1249999999999991,14.382269984832725
49,123,-1.6737843751907349,-1.6980618989408116,-1.6071873903274536,-1.6419310237496465,0.1477298140525818,7909014.050962515,-1.7250000000000043,0.09203725324517156,-1.7250000000000043,6.208771801527032
50,124,-1.340719223022461,-1.3733426419463268,-1.2552921772003174,-1.2520893121612005,0.1792575716972351,19215091.661914326,-1.4249999999999994,0.11267883112686643,-1.2749999999999997,4.677683373700225
51,125,-1.2813310623168943,-1.283324267849946,-1.2695324420928955,-1.2738283035569626,0.1622018963098526,420712.58613078477,-1.2749999999999997,0.12738784288421495,-1.2249999999999992,6.140808442087803
52,126,-1.0243027210235596,-1.033070026871309,-1.0288853645324707,-1.0453785666510054,0.17520511150360107,573767.0565584122,-1.0749999999999993,0.06288247284972372,-0.9749999999999992,17.688644573837546
53,127,-1.2129127979278564,-1.2381951050130664,-1.2000844478607178,-1.2301451485057422,0.26988404989242554,1605838.5590737013,-1.3749999999999996,0.13158967937278976,-1.1249999999999991,3.5903518666975067
54,128,-1.1567367315292358,-1.1710198074259308,-1.1843754053115845,-1.18833854573325,0.3290644586086273,19261234.218232658,-1.275000000000006,0.27388288825105767,-1.0250000000000072,3.1526476305504216
55,129,-1.176188588142395,-1.1715102009498326,-1.248139500617981,-1.2750616139718811,0.36484432220458973,,,,,
56,130,-1.1061694622039795,-1.12673850812103,-1.195666790008545,-1.2381408023544065,0.3348592817783356,75551872.18084128,-1.2250000000000063,0.2670891223984788,-0.9750000000000072,3.2164814067536502
57,131,-1.113977074623108,-1.1405097154646595,-1.1508620977401731,-1.2090326243801341,0.3303923308849335,,,,,
58,132,-1.1903223991394043,-1.2613709923963468,-1.2356055974960327,-1.3087473392486573,0.3169664144515991,79351611.89505269,-1.4749999999999996,0.08545529415886115,-1.4249999999999994,2.1243601764459776
59,133,-1.206039547920227,-1.2849227518648714,-1.2470747232437134,-1.3151600152407386,0.2857961654663086,172475123.3658001,-1.3749999999999996,0.12344181179323561,-1.3249999999999993,2.8399980375649476
60,134,-1.2093559503555298,-1.2658948495107538,-1.212494969367981,-1.2669070932529964,0.2737026214599609,231405243.41114885,-1.3750000000000058,0.1415943802841234,-1.2250000000000063,2.861228755187207
61,135,-1.2657470703125,-1.3303085377073696,-1.2136701345443726,-1.2740460371126596,0.2549375593662262,281698641.6062284,-1.4250000000000056,0.08423706977363492,-1.3750000000000058,3.751962654068685
62,136,-1.2920726537704468,-1.328722601655138,-1.3116881847381592,-1.3587289933532358,0.2038985788822174,712800839.8593957,-1.3750000000000058,0.09241917211673509,-1.3250000000000057,4.896040051748753
63,137,-1.2702569961547852,-1.2872792981391727,-1.3314995765686035,-1.3488689810037613,0.17067165672779086,1070577480.708564,-1.3250000000000057,0.10100809510637833,-1.2250000000000063,6.717821344828437
64,138,-1.2107144594192505,-1.2018623379455216,-1.2722316980361938,-1.2813813937989074,0.18630222976207733,1580956451.4950123,-1.1750000000000065,0.203131600503788,-1.0250000000000072,9.821877520765062
65,139,-1.097866415977478,-1.090100596460064,-1.1131891012191772,-1.1185484861748085,0.17435495555400848,779691196.3273576,-1.0749999999999993,0.19085416990430112,-0.9249999999999989,9.996718774599978
66,140,-1.098463773727417,-1.1044027591841477,-1.1261838674545288,-1.1407584760769602,0.11908077448606492,115893950.40708797,-1.1249999999999991,0.07427153412027071,-1.0749999999999993,10.731024187466243
67,141,-1.113723635673523,-1.1067376598199576,-1.094354510307312,-1.1078693064676453,0.12939578294754028,139977352.73281333,-1.0749999999999993,0.1476044699968466,-1.024999999999999,12.927380499535218
68,142,-1.121611475944519,-1.121189252302692,-1.0891119241714478,-1.0914038310817868,0.13904164731502533,105286891.06717524,-1.1249999999999991,0.1295457677923424,-0.9249999999999989,15.291017942402263
69,143,-1.099698543548584,-1.0940223714954926,-1.034724235534668,-1.0349447051274407,0.16974595189094546,115819714.33425596,-1.0749999999999993,0.1724063243239725,-0.9749999999999992,9.955255974475001
70,144,-1.1059060096740725,-1.0777119961461623,-1.0656955242156982,-1.0440610329594584,0.22104361653327945,180964601.91559592,-1.0750000000000068,0.22930550066540317,-1.0250000000000072,6.736613226782019
71,145,-1.1311774253845217,-1.0744818906379707,-1.0414316654205322,-1.023080428509995,0.26318734884262085,313702449.56082886,-1.0250000000000072,0.3016203260858138,-1.0250000000000072,6.750567525140666
72,146,-1.0433778762817385,-1.0267106405955808,-1.0181735754013062,-1.0097565203635646,0.2204400897026062,276386162.0188827,-1.024999999999999,0.14305922192695616,-0.9749999999999992,8.839046467795455
73,147,-1.0593138933181765,-1.0525790530143024,-1.0435570478439329,-1.034077056816646,0.20380344986915588,665645526.7042576,-1.024999999999999,0.16447366028017837,-1.024999999999999,7.458611332809021
74,148,-1.0911160707473757,-1.1153605300209126,-1.049241304397583,-1.0701012045244709,0.1935904622077942,600461247.472295,-1.1749999999999994,0.11176968224764718,-1.0749999999999993,5.881770234407865
75,149,-1.097437620162964,-1.1308067400616957,-1.0454269647598269,-1.0859577655792236,0.19911897182464602,687361885.240303,-1.1749999999999994,0.10688027238847927,-1.1249999999999991,5.560983584506297
76,150,-1.053674340248108,-1.0866525092692236,-1.0661420822143557,-1.0873697021053832,0.21483908593654635,635551000.0881424,-1.1249999999999991,0.13922004634504756,-0.9249999999999989,5.178644654754416
77,151,-0.9968420267105104,-1.024324772337328,-1.0241166353225708,-1.045077930532908,0.20595279335975647,543496193.1111169,-1.0749999999999993,0.14487201302845754,-0.874999999999999,6.092625727342626
78,152,-1.00619375705719,-1.0087484863303755,-1.0567339658737185,-1.090306357289037,0.2090766876935959,235966547.08337376,-1.2249999999999992,0.06914201961155238,-1.1249999999999991,2.610445734104638
79,153,-1.05672287940979,-1.1113125274507265,-1.091302514076233,-1.1468304371495277,0.20518524944782254,371175016.5875332,-1.2250000000000063,0.06299772003880837,-1.2250000000000063,3.354399677220976
80,154,-1.0440770387649536,-1.0712824776059104,-1.0984867811203003,-1.1421951562400878,0.18459275364875796,524624616.4457454,-1.1750000000000065,0.09305321681681905,-1.1250000000000069,3.4996185835094518
81,155,-1.0187766551971436,-1.0207701134231857,-1.089446783065796,-1.1022313724864612,0.17486168444156647,845552245.1008697,-1.0750000000000068,0.13159143395284228,-0.9250000000000074,7.103484027478383
82,156,-1.0133206844329834,-1.006480954014338,-1.05296790599823,-1.0313578852605705,0.1842903643846512,979346794.7745146,-1.0250000000000072,0.1413323799757332,-0.8750000000000075,8.354324634086996
83,157,-1.0447351932525637,-1.0296017338589925,-1.040522813796997,-1.0176934879879618,0.19398893415927887,1459316593.6922157,-1.0250000000000072,0.15775721455678562,-0.7750000000000079,18.757160429689876
84,158,-1.0555614233016968,-1.0505131085713704,-1.0698851346969604,-1.0386345738884788,0.17518053948879242,1379979508.95005,-1.0750000000000068,0.11145971400359711,-1.0250000000000072,6.12612202862883
85,159,-1.0785285234451294,-1.0680250861428,-1.0922565460205078,-1.0608718341047114,0.1817997843027115,1915890611.20781,-1.0750000000000068,0.12672479390667718,-0.8750000000000075,10.546412346626756
86,160,-1.1031831502914429,-1.081656008623959,-1.151207447052002,-1.1039962768554688,0.1910881996154785,2564975224.059263,-1.0750000000000068,0.13629182253724087,-0.8750000000000075,12.541397811030604
87,161,-1.0709100961685178,-1.062390836802396,-1.1364768743515017,-1.0976334401915746,0.1560581475496292,2321672530.7371955,-1.0750000000000068,0.10955139283102956,-0.9250000000000074,10.531974970972298
88,162,-1.0575813055038452,-1.0491684675216677,-1.119023084640503,-1.0736993117765947,0.14934389293193814,3010004415.7533245,-1.0250000000000072,0.14061956690571717,-0.9750000000000072,8.54754238107459
