Unnamed: 0,snap,mean_mass,median_mass,mean_vol,median_vol,std,A,mu,sigma,alpha,z_T
0,68,-1.67274272441864,-1.7682992075025337,-1.6642258167266846,-1.7724888789254531,0.3762919008731842,1408967.9670655385,-1.8750000000000042,0.24136550914925461,-1.4250000000000056,2.854847939985815
1,69,-1.6380355358123782,-1.6398138674015723,-1.6374491453170776,-1.622836998417868,0.40182986855506897,3196342.2896747594,-1.925000000000004,0.2561112740563997,-1.4250000000000056,2.515927004577119
2,70,-1.4986809492111206,-1.4691419547450006,-1.4629056453704834,-1.3507913005411274,0.3195847272872925,,,,,
3,71,-1.430573582649231,-1.3853264036646131,-1.4660882949829102,-1.3812064850604513,0.2656364738941193,,,,,
4,72,-1.381281852722168,-1.2934385593669888,-1.42027747631073,-1.296430297886917,0.3074904978275299,11861528.378638314,-1.1750000000000065,0.3368369470167986,-1.0750000000000068,18.52174211488176
5,73,-1.36863374710083,-1.2930029032029449,-1.4413273334503174,-1.3559608949726094,0.262244313955307,14809202.986155983,-1.1750000000000065,0.3212797488470765,-1.1750000000000065,9.727332288889155
6,74,-1.2881845235824585,-1.2451180016046204,-1.4518998861312866,-1.3341205255357893,0.23404090106487274,30891295.2138343,-1.2250000000000063,0.21865355170001743,-1.1750000000000065,7.4079007072215
7,75,-1.1414899826049805,-1.1172525900351018,-1.1170761585235596,-1.0813393285035886,0.17018555104732513,31569062.597164027,-1.1250000000000069,0.12544609007559457,-1.0250000000000072,11.959967629982952
8,78,-1.283227562904358,-1.2747886073469985,-1.3597203493118286,-1.329098100410628,0.1843046098947525,161959464.9906306,-1.2250000000000063,0.18551920569535135,-1.1750000000000065,8.458535645422636
9,79,-1.0933177471160889,-1.0680381821418792,-1.1501160860061646,-1.1459298704093497,0.2032489478588104,100621435.39721172,-1.0250000000000072,0.20975297371665924,-0.9250000000000074,10.413019344461263
10,80,-1.0548074245452879,-1.0649451110954429,-0.9126032590866088,-0.9144261271317374,0.15108129382133484,11732480.256263439,-1.024999999999999,0.16908517564199727,-0.9749999999999992,7.972382035587851
11,82,-1.6368780136108398,-1.6611290904261071,-1.6187492609024048,-1.6180041412559338,0.32131803035736084,9113596.3796795,-1.7250000000000043,0.24606183727153713,-1.4250000000000056,4.003835678278417
12,83,-1.6891108751296997,-1.698717083309544,-1.6574872732162476,-1.6436041879471668,0.3956681191921234,15928624.022634353,-1.8750000000000042,0.33368283310134184,-1.4750000000000054,2.5923966933460996
13,84,-1.4938826560974119,-1.4147551958852655,-1.5837374925613403,-1.4859150789923972,0.3576976358890533,27927752.578019425,-1.275000000000006,0.43622389081815655,-1.275000000000006,5.2778073748749526
14,85,-1.3802024126052856,-1.332485943849082,-1.502765417098999,-1.4282573934777758,0.25136426091194153,83015055.11848874,-1.275000000000006,0.2488606566863668,-1.2250000000000063,8.232768609001006
15,86,-2.0084059238433842,-2.0187607517028794,-2.0538959503173833,-2.060553468558408,0.3243695199489593,38859199.010561734,-2.1750000000000065,0.22404994042809603,-1.9750000000000072,2.51488732280792
16,87,-1.2069710493087769,-1.1756827572389994,-1.3901541233062744,-1.4073669198305392,0.3151286542415619,,,,,
17,91,-1.4814308881759644,-1.5342004734264274,-1.4808263778686523,-1.533472084765574,0.17914065718650818,326489.3630761047,-1.5249999999999997,0.11324451266122029,-1.4749999999999996,3.3092304368900596
18,92,-1.3575514554977417,-1.394674800428293,-1.3494874238967896,-1.385842230714691,0.2271552234888077,3626527.939230227,-1.4249999999999994,0.16284021141463356,-1.3749999999999996,3.635002583452367
19,93,-1.2288812398910522,-1.2190614093176504,-1.2568753957748413,-1.2845690152479858,0.2457374930381775,23390578.8881069,-1.0749999999999993,0.35423895700394264,-1.0749999999999993,8.519828541184326
20,94,-1.472649097442627,-1.2919252595677295,-1.354690432548523,-1.2778192200484098,0.5492773056030273,49328795.789713696,-1.0750000000000104,0.37796754906203756,-1.0750000000000104,7.054170665047741
21,95,-1.5485020875930786,-1.4250349198257066,-1.5745857954025269,-1.412782787163867,0.5579478740692139,139511039.99999997,-1.075000000000014,0.5999436758018992,-1.075000000000014,7.0523318792756475
22,96,-1.6054000854492188,-1.6270856355098968,-1.5497018098831177,-1.5859116634550314,0.4287059605121613,98395399.72453138,-1.725000000000008,0.32608264100098594,-1.2750000000000097,3.56900716285623
23,97,-1.2784278392791748,-1.2589833302524702,-1.2991375923156738,-1.2614709163593536,0.2685929834842682,249308181.80051568,-1.2250000000000063,0.3025486335825868,-0.9750000000000072,10.079116994263856
24,98,-1.232038497924805,-1.2340515758669586,-1.177466869354248,-1.1559249519629902,0.2406666576862335,86400733.98413685,-1.2250000000000063,0.2536923926798562,-0.8750000000000075,12.31726891611137
25,99,-1.2310799360275269,-1.2615997988339656,-1.2153699398040771,-1.2490887465579303,0.2434576004743576,1922546.9419447954,-1.3749999999999996,0.10371618568619467,-1.2749999999999997,4.9225185877917905
26,100,-0.9300535917282104,-0.8945360756214754,-1.1580559015274048,-1.1269046068191528,0.24585750699043274,713107515.9446183,-0.8250000000000077,0.2453604780350719,-0.7250000000000081,9.83957776533291
27,101,-0.83980393409729,-0.8099373044875952,-1.0420697927474976,-1.0265996853510542,0.2359520643949509,251667330.22774866,-0.7750000000000079,0.23351769560300542,-0.5750000000000086,10.887907803411244
28,102,-0.9191965460777284,-0.9204164968519466,-0.9743485450744628,-0.9939157223199312,0.2304151058197021,26143847.432565037,-0.9249999999999989,0.20102203678362382,-0.5749999999999987,11.527718260159661
29,103,-1.0765659809112549,-1.0765659809112549,-1.0765659809112549,-1.0765659809112549,0.0,3.567118778281917e-05,-1.0749999999999993,9.999999998493372e-11,,
30,104,-1.0583511590957642,-1.0549573462183883,-1.0595953464508057,-1.0342430126601159,0.2341470420360565,453486733.56367475,-1.0750000000000068,0.22778558483613962,-0.8750000000000075,6.650182219466384
31,105,-1.0073035955429075,-1.0041252193243608,-1.0145548582077026,-1.0095486050808642,0.21079139411449432,485050185.88396233,-0.9749999999999992,0.2252619341893958,-0.824999999999999,7.80069899474782
32,106,-0.956360161304474,-0.9602949353900267,-0.9838222861289978,-0.9896962333329116,0.20295082032680511,401639641.7831025,-0.9749999999999992,0.1812785032419312,-0.7749999999999989,7.899911162243945
33,107,-1.003198742866516,-1.0026646851234475,-0.9975709319114684,-0.9925061988898218,0.19088584184646606,275194906.54882246,-0.9749999999999992,0.16840134544852206,-0.9249999999999989,7.145488225271908
34,108,-1.011180758476257,-0.988859426114977,-1.0020086765289309,-0.978819232075936,0.20800822973251346,353043709.974335,-0.9749999999999992,0.18692519095802346,-0.824999999999999,9.280147003462824
35,109,-1.0344262123107908,-1.0098322448477282,-1.0131751298904421,-0.9803708788627368,0.20394238829612726,491760649.4720037,-0.9749999999999992,0.22379912687883582,-0.824999999999999,10.39301181632266
36,110,-1.0034229755401611,-0.9738453550626768,-1.0130374431610107,-0.9840272771424364,0.2140422016382217,510720855.7463471,-0.9249999999999989,0.2476429222891529,-0.7749999999999989,11.585101069573039
37,111,-0.9844648241996764,-0.9859918886668062,-0.9702658653259276,-0.9554258081025924,0.1959054321050644,418562489.3327024,-0.9749999999999992,0.1807946742673046,-0.824999999999999,7.725296919958086
38,112,-0.9548230171203612,-0.9315548741378202,-0.9524384140968324,-0.9096866309642792,0.2122483402490616,301727008.9239609,-0.9249999999999989,0.2098498324189499,-0.6749999999999988,13.87885509996528
39,113,-0.9243830442428588,-0.9201580422550606,-0.9734660387039183,-0.9522892019040756,0.2078201323747635,644017925.6786599,-0.9250000000000074,0.20125802536953633,-0.6750000000000083,10.154305359848308
40,114,-0.9087254405021667,-0.8762956243889135,-0.8483956456184387,-0.8307560914397789,0.19384616613388064,267432416.9937083,-0.824999999999999,0.24828609900006274,-0.7749999999999989,9.864830474513132
41,115,-0.8586231470108032,-0.829823429708357,-0.8779997825622559,-0.8349080010841453,0.17095907032489774,639295374.1737316,-0.7750000000000079,0.14549672296588645,-0.7250000000000081,15.472414805460062
42,116,-0.8902654051780701,-0.8466342046343047,-0.8638753890991211,-0.8320888839387606,0.1996925175189972,1098702619.201827,-0.7749999999999989,0.21658080543830152,-0.7249999999999989,13.974397052581455
43,117,-0.9156591296195984,-0.8827078512736729,-0.8998724222183228,-0.8694893060586392,0.20512692630290985,2382048034.5507913,-0.824999999999999,0.2531743255002031,-0.6749999999999988,13.694171210582475
44,118,-0.8533875346183777,-0.8431923695232557,-0.9740140438079834,-0.9295054494673402,0.20202045142650604,2740632211.0725236,-0.7750000000000079,0.24816854077519385,-0.7250000000000081,7.480760697343255
45,119,-0.6991657614707947,-0.7061159610748291,-0.783474326133728,-0.7593859287289785,0.1956130713224411,1251079785.5367727,-0.7250000000000081,0.1357161134354296,-0.5750000000000086,8.37134930929285
46,120,-0.5930330753326416,-0.5849307412686555,-0.6134480834007263,-0.5859546957410703,0.19210343062877652,836393617.5434697,-0.5750000000000086,0.1850421804341868,-0.4250000000000092,8.276972993891937
47,121,-0.5347490906715393,-0.5444259769641436,-0.4898934662342072,-0.5080353014130546,0.23907721042633054,299045725.2808884,-0.6249999999999988,0.14841972477518348,-0.4749999999999986,4.433754308199697
48,122,-0.17911599576473236,-0.19032905832282115,0.058309182524681084,0.12221754166427745,0.12245052307844162,7931862.580184354,-0.17499999999999927,0.12597226298368364,-0.12499999999999922,9.103032815552705
49,123,-0.7834808230400085,-0.8062551107487195,-0.736000657081604,-0.7692530164299851,0.14253878593444824,8207904.842774408,-0.824999999999999,0.08554175564520457,-0.7749999999999989,9.894657790480512
50,124,-0.5224212408065796,-0.5189005878750946,-0.5118196010589601,-0.5051308681376372,0.1531655639410019,39381716.96231157,-0.4249999999999995,0.22959295331186028,-0.37499999999999933,13.391730777212997
51,125,-1.1276403665542605,-1.180331649375467,-1.1124204397201538,-1.1817399694635355,0.20209209620952606,458601.8880317329,-1.1749999999999994,0.10763333312351403,-1.1249999999999991,6.1766259779612
52,126,-0.5425987243652344,-0.3217150419755587,-0.6699165105819702,-0.3569931098924153,0.40281558036804205,0.0011415873231092602,-0.3249999999999985,9.999999998493372e-11,-0.2749999999999985,13.105000418276733
53,127,-1.18474543094635,-1.2173539986394415,-1.178758978843689,-1.2140783594595503,0.24090440571308136,2541924.563039119,-1.2249999999999992,0.1587274587797915,-1.2249999999999992,5.160514562064675
54,128,-1.0411708354949951,-1.0816396725600559,-1.0615854263305664,-1.095956062137549,0.2650386393070221,20807803.381861433,-1.1249999999999991,0.17406306766362672,-0.874999999999999,6.6393390972982615
55,129,-0.9639090299606324,-0.9903334521129498,-0.950367271900177,-0.96986215221675,0.2435388118028641,51561848.900143094,-1.0749999999999993,0.15082552365428123,-0.9249999999999989,4.857442066062132
56,130,-0.9045804738998412,-0.9266231623068696,-0.8642586469650269,-0.8722206933641051,0.2320817708969116,82276390.11934409,-0.9749999999999992,0.17473591758385373,-0.824999999999999,5.960163548120255
57,131,-0.814520001411438,-0.8211918027537644,-0.7828148007392883,-0.7787907647271441,0.2142011672258377,212279800.55363998,-0.7249999999999989,0.2883046561962847,-0.6249999999999988,10.536455768103695
58,132,-0.7378005981445312,-0.7192549965598366,-0.7315624952316284,-0.7091904631644621,0.18729308247566226,330946355.6238653,-0.6249999999999988,0.24086716560361027,-0.5749999999999987,15.994824457407082
59,133,-0.6907079815864563,-0.6616421937942505,-0.6832436919212341,-0.6517089989386867,0.16876977682113647,307410485.3793205,-0.6249999999999988,0.14789347296982527,-0.6249999999999988,10.884502400693393
60,134,-0.68177330493927,-0.6556056571396464,-0.6765850782394409,-0.649245501000441,0.15527747571468353,402726815.425321,-0.6249999999999988,0.1318209884795299,-0.5749999999999987,16.584866036493285
61,135,-0.6655497550964355,-0.6443747393155502,-0.6912279725074768,-0.6516939360202509,0.15334293246269226,539530067.2054714,-0.6250000000000084,0.09533114455695522,-0.5750000000000086,17.697652631982706
62,136,-0.6425783038139343,-0.626733482384882,-0.6754989624023438,-0.6312017335105188,0.13170580565929413,884378493.5610803,-0.6250000000000084,0.061445441632800024,-0.5750000000000086,20.544454674840498
63,137,-0.6071539521217346,-0.5983752855440465,-0.6513952612876892,-0.6168895811516775,0.1186327338218689,1669156246.9835498,-0.5749999999999987,0.08036090804685574,-0.5249999999999987,18.068935785786156
