Unnamed: 0,snap,mean_mass,median_mass,mean_vol,median_vol,std,A,mu,sigma,alpha,z_T
0,68,-1.752774953842163,-1.831722545735451,-1.7443208694458008,-1.8316553300363327,0.3851630687713623,1562751.0502973225,-1.925000000000004,0.273173587643365,-1.5250000000000052,2.7515431051356845
1,69,-1.7145174741744995,-1.7119493077839254,-1.7133041620254517,-1.6986051791807564,0.409352034330368,4204835.185008656,-1.925000000000004,0.30683179107390834,-1.4250000000000056,3.1153972613678333
2,70,-1.567086935043335,-1.5364963500394366,-1.5307408571243286,-1.4175152830380189,0.3207198679447174,,,,,
3,71,-1.4987705945968628,-1.4530037113332952,-1.5339897871017456,-1.4492204118450762,0.2662614583969116,,,,,
4,72,-1.4494595527648926,-1.361489958150646,-1.4882550239562988,-1.3635107716392814,0.30884015560150146,11002676.568977173,-1.275000000000006,0.3450461649055422,-1.275000000000006,6.545222455532538
5,73,-1.4368678331375122,-1.359014782144569,-1.5092426538467407,-1.4233239728801952,0.263143390417099,13616285.702143177,-1.275000000000006,0.33248477039536634,-1.275000000000006,7.044603896359524
6,74,-1.356318116188049,-1.3130079719191747,-1.5197807550430298,-1.400067227088397,0.2346424907445908,33174528.271295212,-1.275000000000006,0.22158858404910872,-1.2250000000000063,7.711064823955434
7,75,-1.2096834182739258,-1.185486766484009,-1.1851160526275637,-1.1496902009108596,0.17042729258537292,35527731.10930184,-1.1750000000000065,0.13612155666050946,-1.0750000000000068,12.926203419506965
8,78,-1.3503035306930542,-1.3418481109406035,-1.4264116287231443,-1.39610380900236,0.1840011328458786,138187949.06605464,-1.3250000000000057,0.16473290744623603,-1.1750000000000065,10.615086002228391
9,79,-1.1607969999313354,-1.1358945530034894,-1.2173361778259275,-1.2136510182063855,0.20256149768829346,108071362.87583366,-1.0750000000000068,0.21839497949490475,-0.9750000000000072,11.060777731035177
10,80,-1.122046709060669,-1.1323315929576243,-0.9801509380340576,-0.9821864657356648,0.1507071852684021,7346565.375962027,-1.1749999999999994,0.11184704960113796,-1.0749999999999993,7.368050554089395
11,82,-1.693000316619873,-1.7143524902240823,-1.6757725477218628,-1.6707040868562788,0.31592920422554016,9203288.885579448,-1.7750000000000044,0.25093268778641253,-1.4750000000000054,4.302550536508666
12,83,-1.7530784606933594,-1.7614117119537045,-1.7217085361480713,-1.7076678052659042,0.3943975865840912,18350170.225763172,-1.8750000000000042,0.3737423068064337,-1.4750000000000054,3.0448637059281407
13,84,-1.559457302093506,-1.4809068591800607,-1.6484607458114624,-1.5529226911841851,0.3564439713954925,28960404.894601855,-1.3250000000000095,0.4336269738123856,-1.3250000000000095,5.717150294730207
14,85,-1.4467887878417969,-1.3993969096272771,-1.568509578704834,-1.494023914196071,0.2511613070964813,87861884.23866965,-1.3250000000000057,0.2534467274694401,-1.2250000000000063,10.434107714421842
15,86,-2.074373483657837,-2.0844624186368232,-2.1188836097717285,-2.123872102414808,0.3240591883659363,71391556.43181211,-2.025000000000007,0.3673490237659154,-1.8750000000000075,3.765444529276669
16,87,-1.274978518486023,-1.243675204488221,-1.457721471786499,-1.4746324617202091,0.31450384855270386,,,,,
17,91,-1.537539839744568,-1.5828353958725263,-1.5369887351989746,-1.582304963908574,0.1740502417087555,244917.65404683808,-1.6249999999999996,0.08857475768825196,-1.4249999999999994,2.433848900153049
18,92,-1.4238519668579102,-1.4598782796598857,-1.4159177541732788,-1.4526868389857857,0.2261030972003937,3955927.3084816034,-1.4749999999999996,0.16943427613392717,-1.4249999999999994,3.4688002485966294
19,93,-1.2969098091125488,-1.2871284117411863,-1.3250105381011963,-1.352525392445651,0.2458057999610901,21643940.678354774,-1.1749999999999994,0.33901152136183577,-1.1249999999999991,10.130812952757038
20,94,-1.5402355194091797,-1.3595967110992015,-1.4228287935256958,-1.34680699814338,0.5488635301589966,51223596.315091096,-1.1250000000000102,0.37787188443150066,-1.1250000000000102,8.037102620693057
21,95,-1.615936279296875,-1.4924055719902505,-1.642251968383789,-1.4804991159852094,0.5582075119018555,139246879.99999985,-1.1750000000000136,0.6259703669849297,-1.1750000000000136,5.636361461674223
22,96,-1.6733909845352173,-1.6938625527139162,-1.6176141500473022,-1.6522653001849934,0.4299423396587372,102949324.05382131,-1.7750000000000081,0.33607851760630214,-1.3250000000000095,3.865205526266705
23,97,-1.345879077911377,-1.3265199508595151,-1.366881251335144,-1.3294888646935548,0.26846790313720703,262013039.96189058,-1.275000000000006,0.31043280584024713,-1.0250000000000072,10.806226690886895
24,98,-1.299493670463562,-1.3016335704766686,-1.245331645011902,-1.2244624243143951,0.2406553328037262,91158322.32529812,-1.275000000000006,0.26202368908756113,-1.0250000000000072,10.212229380785196
25,99,-1.2982569932937622,-1.3289187801555886,-1.282567262649536,-1.3153614953471664,0.24370476603508,3786511.4058413836,-1.3249999999999993,0.1775042254763851,-1.3249999999999993,5.6731460419670485
26,100,-0.9984962344169616,-0.9626833902274391,-1.2261542081832886,-1.1946458180137352,0.2454530745744705,759118803.6385833,-0.8750000000000075,0.2560603931614219,-0.7750000000000079,10.569558754065294
27,101,-0.9084839224815368,-0.8786545639111871,-1.1102101802825928,-1.0947967086519514,0.2353239506483078,269031069.2937952,-0.8250000000000077,0.2427364395118477,-0.6750000000000083,10.34305919198616
28,102,-0.9853619933128356,-0.9860542528051376,-1.040496587753296,-1.0597467283323414,0.22930076718330386,17333102.5703095,-1.0749999999999993,0.1540359176254254,-0.9749999999999992,3.7951385711764107
29,103,-1.1371314525604248,-1.1371314525604248,-1.1371314525604248,-1.1371314525604248,0.0,3.567118778281918e-05,-1.1249999999999991,9.999999998493372e-11,,
30,104,-1.1263123750686646,-1.1228049871872885,-1.1275203227996826,-1.1019580260742798,0.2340123504400253,484093657.0804904,-1.1250000000000069,0.2375219502187929,-0.9250000000000074,7.132671588606345
31,105,-1.0751547813415527,-1.0719163653638533,-1.0823065042495728,-1.077111589725201,0.2105357050895691,516884587.1509536,-1.024999999999999,0.23624319986500542,-0.9249999999999989,7.11717391419232
32,106,-1.0241479873657229,-1.0279058562000087,-1.0513520240783691,-1.0571525141976097,0.20264191925525665,342329855.43679696,-1.0750000000000068,0.16183318888050935,-0.9250000000000074,5.711738185472813
33,107,-1.0705878734588623,-1.0700613414659117,-1.0648268461227417,-1.059868257185992,0.19060227274894714,231413165.878521,-1.0749999999999993,0.14720614263491902,-0.9749999999999992,7.22801316181488
34,108,-1.0787539482116701,-1.0565188001598833,-1.0692480802536009,-1.0462994415585587,0.20779311656951904,381785665.63630354,-1.0250000000000072,0.19346675187412554,-0.9250000000000074,8.337957230172426
35,109,-1.1021825075149536,-1.0775874011905482,-1.0808871984481812,-1.0480267180039196,0.20386211574077606,525224289.5872303,-1.0250000000000072,0.2300578597972048,-0.9250000000000074,9.622913394078786
36,110,-1.0713465213775637,-1.0417674036686628,-1.0808148384094238,-1.0517643298227486,0.21381530165672305,542949394.5070015,-0.9749999999999992,0.2545057868676702,-0.874999999999999,10.083551614724009
37,111,-1.0523091554641724,-1.0538224671453638,-1.0382865667343142,-1.0232902210638797,0.1957046538591385,357145866.8895633,-1.0749999999999993,0.16316003155708622,-0.9249999999999989,7.1237268266066955
38,112,-1.0227948427200315,-0.9995126719687396,-1.0203419923782349,-0.9775650027845072,0.2120178192853928,323750138.17106396,-0.9749999999999992,0.2172768916795247,-0.7749999999999989,12.79471211203603
39,113,-0.9926039576530457,-0.9881439722703964,-1.041435480117798,-1.0201782870325458,0.2073380947113037,692479213.314122,-0.9750000000000072,0.21215034860337495,-0.6750000000000083,13.137021953770805
40,114,-0.9766405820846558,-0.9445312718550364,-0.916540026664734,-0.8988074291822431,0.1933092623949051,285971038.6193591,-0.874999999999999,0.251496769338755,-0.7749999999999989,14.623690346244093
41,115,-0.9267292022705078,-0.8979807710134855,-0.9460819959640504,-0.9032345255931128,0.1707572042942047,519341427.62668586,-0.8750000000000075,0.1242070383703799,-0.7750000000000079,16.693322444657163
