Unnamed: 0,snap,mean_mass,median_mass,mean_vol,median_vol,std,A,mu,sigma,alpha,z_T
0,68,-1.8962744474411009,-1.934346005927168,-1.8738821744918823,-1.9042944806090265,0.3625393211841583,1621202.3418274755,-2.025000000000007,0.308469289435032,-1.725000000000008,2.241545198805931
1,69,-1.8818192481994631,-1.8574897282295333,-1.8789665699005127,-1.8561986068704528,0.3893265724182129,2998933.0419645505,-2.1750000000000034,0.23573083704248707,-1.7250000000000043,2.485231257998895
2,70,-1.759575128555298,-1.724510298584992,-1.7344053983688354,-1.6198828155466145,0.31270554661750793,,,,,
3,71,-1.6989294290542605,-1.6519718188766046,-1.7346526384353638,-1.6558945309669062,0.26179057359695435,,,,,
4,72,-1.6514872312545776,-1.5669331560896451,-1.6872818470001218,-1.5673930369432745,0.3071722388267517,11295286.545812037,-1.4750000000000054,0.33180730927732544,-1.4750000000000054,7.577692127043549
5,73,-1.6328765153884888,-1.5593703807934836,-1.7154847383499146,-1.6301986846674397,0.2620935440063477,13674654.103565268,-1.4750000000000054,0.3170953646276896,-1.4250000000000056,12.374793770087997
6,74,-1.5577200651168823,-1.5158619048818205,-1.7229959964752195,-1.6066268694184058,0.2296585440635681,33633144.827105224,-1.4750000000000054,0.20461020387717907,-1.4750000000000054,6.79640245409199
7,75,-1.4202934503555298,-1.396804088127242,-1.3969659805297852,-1.3616862557821912,0.16692468523979187,38445953.65539359,-1.3750000000000058,0.1385357995916502,-1.275000000000006,14.146885848925672
8,78,-1.559492111206055,-1.550245568172781,-1.6323765516281128,-1.6033022285229996,0.17910373210906982,145836706.58011433,-1.5250000000000052,0.16219106957246945,-1.4250000000000056,10.084546779499837
9,79,-1.3792543411254885,-1.3576140420733902,-1.431479573249817,-1.4272683128928518,0.19323766231536865,96771524.27684823,-1.3250000000000057,0.1936216696752476,-1.1750000000000065,12.191498595078901
10,80,-1.3429111242294312,-1.3537084091839526,-1.2078359127044678,-1.2139129106140087,0.14440962672233582,8348329.148071471,-1.3749999999999996,0.11938460963816304,-1.2749999999999997,8.172790883396987
11,82,-1.7557535171508791,-1.7252218141976994,-1.7532001733779907,-1.7098836988875634,0.2890617251396179,11442170.627316903,-1.7250000000000043,0.31282366774967585,-1.5750000000000048,5.187627771082448
12,83,-1.9158679246902464,-1.8900261908607443,-1.89127516746521,-1.8511267897457733,0.3861121535301209,,,,,
13,84,-1.7448878288269043,-1.6737439213147318,-1.8244369029998782,-1.7403110229503036,0.3419728577136993,25541798.81390613,-1.5750000000000086,0.38088686749283907,-1.5250000000000088,5.954166464530813
14,85,-1.6429131031036377,-1.600520738536069,-1.7513083219528198,-1.6701562541865318,0.2458971440792084,88871305.65892279,-1.5250000000000088,0.24693551388968413,-1.4250000000000091,11.154736717729454
15,86,-2.2763047218322754,-2.2792237982767327,-2.3104803562164307,-2.301970053506464,0.3215667903423309,70696013.3024401,-2.2250000000000063,0.3708020190408957,-2.025000000000007,4.15830642964001
16,87,-1.5048998594284058,-1.4746881263297902,-1.6833462715148926,-1.6986273078097889,0.3072805106639862,,,,,
17,91,-1.5674582719802856,-1.5733074219427814,-1.5668982267379759,-1.5691444325302355,0.14746861159801486,238650.80191578806,-1.6249999999999996,0.10193986975192651,-1.5249999999999997,6.839176094496546
18,92,-1.607312798500061,-1.6329123023546548,-1.6024413108825684,-1.6280863235969254,0.2144811600446701,3380471.5128336833,-1.6750000000000047,0.15304951007434797,-1.5250000000000052,5.241034780861104
19,93,-1.500226378440857,-1.4958864689321023,-1.5314942598342896,-1.5626841751230327,0.2422073632478714,21766918.717281964,-1.3750000000000058,0.3369864702585064,-1.3250000000000057,10.111637797790522
20,94,-1.739338755607605,-1.5624149097722453,-1.6301804780960083,-1.5550187845261454,0.5436670780181885,51618240.34764148,-1.3250000000000095,0.3777295437354592,-1.3250000000000095,8.04476731085865
21,95,-1.8225080966949463,-1.6960222113495718,-1.849015951156616,-1.685788498835617,0.5536472797393799,142030719.9999989,-1.3750000000000129,0.6101709537300667,-1.3750000000000129,6.303201098201984
22,96,-1.8696683645248413,-1.8875921482222275,-1.812660813331604,-1.8484753972561931,0.42971906065940857,89333950.89685594,-2.025000000000007,0.31302435795918604,-1.5750000000000086,3.237394939084291
23,97,-1.5510576963424685,-1.5339617945931174,-1.5737714767456057,-1.5376576789911245,0.2626068592071533,267821838.06616187,-1.4750000000000054,0.29739769650241826,-1.275000000000006,9.66614869520371
24,98,-1.5055322647094729,-1.510776538848877,-1.4518083333969116,-1.4367214739911407,0.23502328991889954,78833435.86827396,-1.5250000000000052,0.22047410331391692,-1.275000000000006,8.470937297588515
25,99,-1.502674221992493,-1.5374815955955243,-1.4870911836624146,-1.5249834967882463,0.2455936074256897,3854668.415602764,-1.5249999999999997,0.17605001854505,-1.4749999999999996,6.697868928428198
26,100,-1.220890998840332,-1.1846043460199227,-1.4436570405960083,-1.4116127983295064,0.24088431894779205,691554844.9765091,-1.1250000000000069,0.232479167458333,-0.9750000000000072,11.59483346955846
