Unnamed: 0,snap,mean_mass,median_mass,mean_vol,median_vol,std,A,mu,sigma,alpha,z_T
0,68,-1.85545027256012,-1.9083709688662085,-1.836072325706482,-1.8753752013976208,0.3645355999469757,1088487.535959259,-2.125000000000003,0.1929642774861643,-2.0750000000000037,0.9066382145538102
1,69,-1.8366255760192869,-1.8214379633110995,-1.8342032432556152,-1.8215799065559375,0.39158472418785095,,,,,
2,70,-1.7103068828582764,-1.6761311954553826,-1.6825978755950928,-1.5676793366776358,0.3137921392917633,,,,,
3,71,-1.647919535636902,-1.601886877301964,-1.6835139989852903,-1.6056577100559772,0.2624236941337585,,,,,
4,72,-1.5998531579971311,-1.5138900737898937,-1.6363087892532349,-1.5139125957039503,0.3072569966316223,11191571.657586565,-1.4250000000000056,0.3344766967609005,-1.4250000000000056,7.3528992089396725
5,73,-1.5827409029006958,-1.5078974572562427,-1.6629161834716797,-1.5764292450927082,0.26195698976516724,13612841.600793993,-1.4250000000000056,0.31963761554022085,-1.3750000000000058,11.694060010033269
6,74,-1.5063785314559937,-1.4638848574188117,-1.671278715133667,-1.5507111437235983,0.23057961463928225,33508776.95505191,-1.4250000000000056,0.2100399225511266,-1.4250000000000056,6.452283310048457
7,75,-1.3666712045669556,-1.3434694344290827,-1.3430323600769043,-1.3059930521680363,0.1675732135772705,37359591.33304113,-1.3250000000000057,0.13675251459799886,-1.1750000000000065,17.98425790845697
8,78,-1.5064420700073242,-1.4973170019520654,-1.580096960067749,-1.5508659737066917,0.1800946742296219,143283370.4236296,-1.4750000000000054,0.16184194325542797,-1.3750000000000058,9.969057041075137
9,79,-1.323681116104126,-1.3011772845939096,-1.37700092792511,-1.3733893908655437,0.1954875886440277,93911945.13895947,-1.275000000000006,0.19287241585986956,-1.1250000000000069,12.17796013663659
10,80,-1.2868635654449463,-1.298719062847098,-1.1499022245407104,-1.154719510669914,0.14595524966716766,8054749.169330541,-1.3249999999999993,0.11676677346067434,-1.2249999999999992,7.835549302312605
11,82,-1.7346199750900269,-1.7173852349042429,-1.7285408973693848,-1.6936134439926092,0.2886900305747986,11039988.042353172,-1.7250000000000043,0.29669923456444974,-1.5750000000000048,4.955706760612925
12,83,-1.8734277486801147,-1.851007882983928,-1.847073674201965,-1.8152806425935608,0.38613101840019226,,,,,
13,84,-1.6973227262496948,-1.6258332390889196,-1.7787736654281616,-1.6927102750010294,0.3440769910812378,28735293.87315162,-1.475000000000009,0.39535125716175623,-1.475000000000009,6.193409267159239
14,85,-1.5930709838867188,-1.550641066482607,-1.7045307159423828,-1.62661109009177,0.24650856852531436,88617848.18245932,-1.475000000000009,0.24774810202552286,-1.375000000000009,10.781216643710446
15,86,-2.2254998683929443,-2.2290765034028053,-2.2616119384765625,-2.2545662787405365,0.3219225108623505,70834392.47914642,-2.1750000000000065,0.3696479594716466,-2.025000000000007,3.9300166642936194
16,87,-1.4462649822235107,-1.4157113593156812,-1.6260135173797607,-1.6412946738582603,0.3093697428703308,,,,,
17,91,-1.554114580154419,-1.5777017798176631,-1.5533751249313354,-1.568647876691035,0.14500531554222107,213869.72512354943,-1.6249999999999996,0.06715085482909858,-1.5749999999999995,4.918970030768523
18,92,-1.5601112842559814,-1.592256977026923,-1.5545177459716797,-1.5866334812207898,0.21519707143306727,3530591.6564872083,-1.6250000000000049,0.15333709498025738,-1.3750000000000058,7.1743537162663475
19,93,-1.4482336044311523,-1.4448275838399016,-1.4785829782485962,-1.510379558984884,0.2423001676797867,21657488.93930605,-1.3250000000000057,0.3374220682238742,-1.275000000000006,10.018152258960777
20,94,-1.6886471509933472,-1.5120569881272174,-1.57706880569458,-1.5015036470509393,0.5451845526695251,51113402.31209902,-1.2750000000000097,0.3709890510017819,-1.2750000000000097,8.133131694444213
21,95,-1.7702187299728394,-1.6430871064567305,-1.796719312667847,-1.6331607308358966,0.5552372336387634,138883519.99999988,-1.325000000000013,0.6067995202103358,-1.325000000000013,6.01846319516863
22,96,-1.8195747137069704,-1.8374807537554168,-1.7627750635147097,-1.798382085931269,0.42945629358291626,89237302.59498838,-1.9750000000000072,0.31202227725166654,-1.5250000000000088,3.2407110758315927
23,97,-1.498878836631775,-1.4812588093415746,-1.5210922956466677,-1.486370793774597,0.2637418210506439,265878374.3282328,-1.4250000000000056,0.29983208854166465,-1.2250000000000063,9.413063517691812
24,98,-1.4531610012054443,-1.4578942172512483,-1.3991119861602783,-1.3818137182677088,0.23618097603321075,78243215.39787558,-1.4750000000000054,0.2231189193810121,-1.2250000000000063,8.274763130142457
25,99,-1.450803279876709,-1.4841642802999049,-1.4351807832717896,-1.4723618904563125,0.2448689639568329,3829164.7618716774,-1.4749999999999996,0.1780009118793132,-1.4749999999999996,5.790944160811535
26,100,-1.1641318798065186,-1.1280606996953784,-1.3882873058319092,-1.3567700878871105,0.24216870963573456,674361853.8771766,-1.0750000000000068,0.2310530840800936,-0.9250000000000074,11.26198310051996
27,101,-1.0763387680053709,-1.0477547382962875,-1.2739784717559814,-1.2596825872678912,0.2310149222612381,240989907.10454226,-1.0250000000000072,0.222926763636854,-0.8750000000000075,9.915437425831369
28,102,-1.1269389390945437,-1.1284496277171157,-1.179918885231018,-1.185872518492609,0.2185261845588684,26682467.110737357,-1.1250000000000069,0.18529618802227787,-0.7750000000000079,15.913508945691648
29,103,-1.210783839225769,-1.2107837200164795,-1.2107837200164795,-1.2107837200164795,0.0,3.567118778281918e-05,-1.2249999999999992,9.999999998493372e-11,,
30,104,-1.2909936904907229,-1.2871770151262358,-1.2905821800231934,-1.2649624307950338,0.2313734292984009,508972426.151916,-1.275000000000006,0.24418491222511518,-1.0250000000000072,8.649868158869557
31,105,-1.2380475997924805,-1.2339129524213523,-1.243572473526001,-1.2368046255147414,0.20750439167022705,541024486.5640908,-1.1750000000000065,0.24235591832028325,-1.0750000000000068,7.542037477217485
32,106,-1.1852922439575195,-1.1882661450487064,-1.20883047580719,-1.2136399805118416,0.19820469617843628,360031733.24363047,-1.2250000000000063,0.16393272997221103,-1.0250000000000072,7.563861354956228
33,107,-1.2252877950668335,-1.224528670310974,-1.2171229124069214,-1.2118253896110935,0.18677859008312225,236689792.62222046,-1.2250000000000063,0.14650321683508766,-1.1250000000000069,7.4749110017658404
34,108,-1.235569715499878,-1.2134364353539489,-1.2195255756378174,-1.1981081599329677,0.20569603145122528,392882333.2442287,-1.1750000000000065,0.19384523549666846,-1.0750000000000068,8.754154633889684
35,109,-1.261552810668945,-1.2360181384662825,-1.2376244068145752,-1.203230136174422,0.2033669650554657,447826398.70688254,-1.2250000000000063,0.2180800211191826,-1.1750000000000065,6.623427410174751
36,110,-1.2320284843444824,-1.2014198581449005,-1.2368614673614502,-1.2067701967768258,0.2118375152349472,562382849.1771691,-1.1250000000000069,0.25510660027634646,-1.0250000000000072,11.036109481574256
37,111,-1.2115330696105957,-1.211818268572962,-1.1954768896102903,-1.1798388246016582,0.19299887120723724,371780186.50425047,-1.2250000000000063,0.16431167393571722,-1.0250000000000072,8.637151617262894
38,112,-1.1852236986160278,-1.161110357804732,-1.1809202432632446,-1.1365752081538356,0.20979183912277224,338218809.93424344,-1.1250000000000069,0.21913240531746503,-0.9750000000000072,11.323009760679202
39,113,-1.15553879737854,-1.1488031733269786,-1.2017747163772583,-1.1786120466564012,0.20453192293643951,723306974.7733274,-1.1250000000000069,0.21783967138114302,-0.8750000000000075,12.33323271496472
40,114,-1.1364786624908447,-1.1048014453829151,-1.0760117769241333,-1.0573049730934174,0.1891358494758606,298523780.6818511,-1.024999999999999,0.2515071885277612,-0.9249999999999989,15.98932258935034
41,115,-1.0863282680511477,-1.0561796042226976,-1.104655146598816,-1.0598586413627025,0.17023254930973053,545519752.6963716,-1.0250000000000072,0.12345975894502509,-0.9250000000000074,17.78886274957131
42,116,-1.1185197830200195,-1.0734597948408615,-1.088833928108215,-1.0560344281869056,0.19967207312583926,1012881862.7931489,-1.0250000000000072,0.2165721817468627,-0.9750000000000072,12.762166037971948
43,117,-1.146276831626892,-1.1138631903280425,-1.1277257204055786,-1.097669964997002,0.20347009599208832,2654196840.847088,-1.024999999999999,0.2636082826019949,-0.9249999999999989,13.608678243337616
44,118,-1.0851694345474243,-1.0751319159632144,-1.2037826776504517,-1.1591718837144942,0.19910134375095367,2581325147.52627,-1.0250000000000072,0.23529640316196934,-0.9250000000000074,8.399164564506473
45,119,-0.9327685832977296,-0.9387689784991958,-1.0146260261535645,-0.988738568474716,0.19131985306739807,1107058407.531604,-0.9750000000000072,0.12030226102472344,-0.8750000000000075,6.797127319246109
46,120,-0.8275659084320068,-0.8190054812673795,-0.845295786857605,-0.8182827234268188,0.1902172714471817,968387062.4507092,-0.7750000000000079,0.20394571275461737,-0.6750000000000083,8.392297388977529
47,121,-0.7727249264717102,-0.7841750798906599,-0.7267375588417053,-0.7469458113359602,0.23894625902175906,279304682.04581726,-0.874999999999999,0.1400176400451713,-0.7249999999999989,4.3603112970427205
48,122,-0.4008110761642456,-0.40742553138112186,-0.14405161142349246,-0.05228040566459405,0.12272625416517258,8817082.398256645,-0.37499999999999933,0.1466509713980824,-0.3249999999999994,12.149766029410996
49,123,-1.0112986564636228,-1.0347536060977074,-0.9490000605583192,-0.9866225572427114,0.14077207446098328,6451551.869122603,-1.0749999999999993,0.06626686424030175,-1.024999999999999,8.948727841722308
50,124,-0.7598353624343872,-0.7560912739786974,-0.7478536367416382,-0.7374097403987311,0.15122799575328827,37752477.43943684,-0.6749999999999988,0.21937209862819634,-0.5749999999999987,18.969794716859518
51,125,-1.2933144569396973,-1.3543803432581798,-1.2717653512954712,-1.3576269249976611,0.19797344505786896,0.00043072308558386973,-1.4249999999999994,9.999999998493372e-11,-1.3749999999999996,6.089325746385063
52,126,-0.7533931732177734,-0.5462388534046736,-0.8724898099899292,-0.5779552372963629,0.3790390193462372,1031810.7705025851,-0.4749999999999986,0.08603630923425151,-0.4749999999999986,28.64730483377792
53,127,-1.389643669128418,-1.42069644780873,-1.3810606002807615,-1.4123820934706257,0.23769839107990265,2607622.723045102,-1.4249999999999994,0.1600733765706266,-1.4249999999999994,4.9794710915383416
54,128,-1.2448254823684692,-1.282661537933154,-1.2658380270004272,-1.2948136327696125,0.26249876618385315,15702028.266365746,-1.3749999999999996,0.14103269833776794,-1.2749999999999997,3.872369216380194
55,129,-1.1696301698684692,-1.1971558749427549,-1.1584017276763916,-1.1773094772292076,0.24241313338279724,52515790.6689749,-1.2749999999999997,0.15251682960906476,-1.1249999999999991,5.019618378363295
56,130,-1.1103140115737915,-1.1329369385891903,-1.0737380981445312,-1.0810479879379271,0.22984054684638974,123365588.21734506,-1.0749999999999993,0.2421775769236334,-1.024999999999999,6.811811985289739
57,131,-1.0237993001937866,-1.0286032185336658,-0.9944186806678772,-0.9907490378431096,0.2093290537595749,190978048.83708403,-0.9749999999999992,0.2501322245804461,-0.824999999999999,11.902723092100942
58,132,-0.9539589881896972,-0.9387705386231798,-0.94978129863739,-0.9295863166110206,0.1821618378162384,297990454.75118446,-0.874999999999999,0.2143418213364805,-0.824999999999999,14.982146389760151
59,133,-0.9105147123336792,-0.8855937115566149,-0.9047899842262268,-0.8764850111617989,0.16371354460716248,354805194.18446165,-0.824999999999999,0.15495533288392704,-0.824999999999999,14.91050781326785
60,134,-0.9024587273597716,-0.8799050875697367,-0.897612452507019,-0.8734982588601332,0.15053299069404602,473156323.8826809,-0.824999999999999,0.1417165615022377,-0.824999999999999,14.897242395381413
61,135,-0.887786328792572,-0.8686027806329529,-0.9115413427352904,-0.8748337230317836,0.15060366690158844,431311548.9687504,-0.8750000000000075,0.08391032662387633,-0.8250000000000077,15.802633504326703
62,136,-0.8669355511665344,-0.8517321187232617,-0.8995780348777771,-0.8562096531931268,0.13037896156311035,1197789507.4206991,-0.8250000000000077,0.08055423099226774,-0.7750000000000079,22.537708939582174
63,137,-0.8332830667495728,-0.8245609869439918,-0.8777731657028198,-0.8438380741774102,0.11734633892774582,1267881634.0601094,-0.8250000000000077,0.0588034189934381,-0.7250000000000081,19.80786897408111
64,138,-0.7755370140075684,-0.7851412773829455,-0.8374351859092712,-0.8306590897021907,0.15168972313404086,805647446.3771409,-0.824999999999999,0.06187526071255801,-0.7749999999999989,7.201262467416436
65,139,-0.7200347781181335,-0.7359372696645579,-0.7428801655769348,-0.7661329656067289,0.15921664237976074,550526106.2838883,-0.7749999999999989,0.11025816114695706,-0.6749999999999988,5.8816042971189315
66,140,-0.7089434266090393,-0.7181518731602723,-0.7408327460289001,-0.7703214570720315,0.12912382185459134,147067410.70328763,-0.7249999999999989,0.10659646855950626,-0.6249999999999988,13.182355326543357
67,141,-0.7260990142822266,-0.7322746487044514,-0.7153064608573914,-0.7379823267261508,0.11720620840787888,116226184.96903215,-0.7249999999999989,0.0978666242582626,-0.6749999999999988,12.719634845823775
68,142,-0.7205554246902466,-0.7257518136091713,-0.7147272825241089,-0.7274176055716155,0.11760331690311432,104634108.00691856,-0.7249999999999989,0.08996829696429379,-0.6249999999999988,16.519135653132622
69,143,-0.7372344732284546,-0.7411325662726751,-0.71271151304245,-0.7249950923016069,0.12263266742229463,119482641.86397801,-0.7249999999999989,0.0986948878990005,-0.6749999999999988,14.95225254486489
70,144,-0.7575150132179259,-0.7500707678670107,-0.7510993480682373,-0.743407591997859,0.13603830337524414,202129355.56569174,-0.7249999999999989,0.10042711874221207,-0.6749999999999988,18.16796475832986
